text00#0,"""이 퀘스트 안내"""
text10#0,"""『누적 포인트 보상』 안내"""
text20#0,"""테마: 『공작전』 안내"""
text30#0,"""테마: 『보충전』 안내"""
text40#0,"""테마: 『섬멸전』 안내"""
text50#0,"""테마: 『토벌전』 안내"""
text100#0,"""돌아가기"""
Title#0,"""이 퀘스트 안내"""
text0001#0,"""「디바이드 퀘스트」는<br>5개의 스텝을 돌파하는 것이<br>목표입니다.<br><br>퀘스트 실패와 관련된 「<yellow>라이프<c>」와<br>보상과 관련된 「<yellow>디바이드 포인트<c>」를<br>관리하며 5개의 스텝을 돌파하세요.<br><br>각 스텝을 클리어하면 결과가 산정되며<br>5개 스텝을 모두 높은 결과 랭크로 클리어하면<br>난도가 더 높고 보상도 더 좋은<br>다음 5개 스텝이 개방됩니다."""
text0101#0,"""「디바이드 퀘스트」는<br>5개의 스텝을 돌파하는 것이<br>목표입니다.<br><br>퀘스트 실패와 관련된 「<yellow>라이프<c>」와<br>보상과 관련된 「<yellow>디바이드 포인트<c>」를<br>관리하며 5개의 스텝을 돌파하세요.<br><br>각 스텝을 클리어하면 결과가 산정되며<br>5개 스텝을 모두 높은 결과 랭크로 클리어하면<br>난도가 더 높고 보상도 더 좋은<br>다음 5개 스텝이 개방됩니다."""
text0002#0,"""<yellow>「라이프」는 파티가 공유하며<br>남은 수가 0이 되는 순간 퀘스트에 실패합니다.<c><br><br>라이프 감소 조건은 다음과 같습니다.<br><yellow>· 파티 멤버 중 한 명이라도 전투 불능<br><br>각 스텝에서 얻는 「디바이드 포인트」는<br>스텝 5 클리어 시 정산하여 획득합니다.<br><br>주간 누적 획득 포인트에 따라<br>보상을 받을 수 있으니<br>여러 번 도전해 보세요."""
text0102#0,"""<yellow>「라이프」는 파티가 공유하며<br>남은 수가 0이 되는 순간 퀘스트에 실패합니다.<c><br><br>라이프 감소 조건은 다음과 같습니다.<br><yellow>· 파티 멤버 중 한 명이라도 전투 불능<br><br>각 스텝에서 얻는 「디바이드 포인트」는<br>스텝 5 클리어 시 정산하여 획득합니다.<br><br>주간 누적 획득 포인트에 따라<br>보상을 받을 수 있으니<br>여러 번 도전해 보세요."""
text0003#0,"""각 스텝에서는 두 개의 「루트」 중<br>하나를 선택합니다.<br>선택한 루트의 결과 랭크에 따라<br>보너스를 받을 수 있습니다.<br><br><c 00ffff>■포인트 루트<c><br>추가 디바이드 포인트를 획득합니다.<br><br><c 00ffff>■라이프 루트<c><br>라이프가 회복됩니다.<br><br>파티 상황에 맞춰<br>적절한 루트를 선택해 주세요."""
Title#1,"""『누적 포인트 보상』 안내"""
text0001#1,"""「디바이드 퀘스트」에서 획득하는<br>「<yellow>디바이드 포인트<c>」는 <c 00ff00>스텝 5 클리어 시<br>캐릭터별로 정산하여 획득합니다.<c><br><br>획득 포인트가<br>일정 수치에 도달할 때마다<br>보상이 운영 창고로 전송됩니다.<br>※포인트 획득 현황과 보상 목록은<br>메인 메뉴의 「콘텐츠 정보」에서<br>확인할 수 있습니다."""
