name_7448#0,"""Katsuragi"""
ssn_015334_0010#0,"""จะช่วยงั้นเหรอ?! โอ้ ช่วยได้เยอะเลยล่ะ เอาล่ะ ขออธิบายให้ฟังนะ"""
ssn_015334_0020#0,"""เมื่อวันก่อน ระหว่างที่อยู่ใน Dreisen Plant หน่วยสอดแนมได้พบกับกลุ่ม DOLLS กลุ่มหนึ่งเข้า"""
ssn_015334_0030#0,"""ดูเหมือนว่าเมื่อเทียบกับ DOLLS ทั่วไปแล้ว พวกมันมีกลิ่นอายที่ดูหนักแน่นและแตกต่างออกไปอย่างเห็นได้ชัด..."""
ssn_015334_0040#0,"""ทันทีที่เข้าปะทะกับ DOLLS พวกเขาก็พบว่าตัวเองถูกต้อนจนมุมอย่างรวดเร็ว และไม่มีทางเลือกอื่นนอกจากต้องล่าถอย"""
ssn_015334_0050#0,"""เราเรียก DOLLS กลุ่มนี้ว่า 'Recon Gigantix'"""
ssn_015334_0060#0,"""พูดง่ายๆ ก็คือกลุ่มสอดแนมของ Gigantix นั่นแหละ"""
ssn_015334_0070#0,"""เราอยากจะวางแผนเพื่อรับมือกับพวกมันก่อนที่จะมีใครบาดเจ็บสาหัส แต่..."""
ssn_015334_0080#0,"""อย่างที่เคยเป็นมา กองกำลังที่เราจะแบ่งไปได้นั้นไม่เพียงพอ..."""
ssn_015334_0090#0,"""นั่นก็เลยเป็นเหตุผลว่าทำไมถึงอยากขอให้เธอไปที่นั่นเพื่อเก็บข้อมูลของพวกมัน"""
ssn_015334_0100#0,"""เราไม่แน่ใจว่าเป้าหมายแข็งแกร่งแค่ไหน ครั้งนี้เลยแค่อยากให้เธอเข้าไปติดต่อก็พอ"""
ssn_015334_0110#0,"""...แน่นอน ถ้าเธอเอาชนะพวกมันได้ด้วยก็จะดีมาก..."""
ssn_015334_0120#0,"""เคยบอกไปแล้วล่ะนะ แต่ยังไงก็ระวังตัวให้มากที่สุดเวลาออกไปด้วยล่ะ"""
