name_7448#0,"""Katsuragi"""
ssn_015331_0010#0,"""ขอบคุณมากๆ เลย นี่คือคำอธิบายคร่าวๆ นะ"""
ssn_015331_0020#0,"""เช่นเดียวกับภูมิภาคอื่นๆ เราได้ยืนยันการมีอยู่ของ Regional Mags ที่นี่ใน Stia ด้วย"""
ssn_015331_0030#0,"""ตอนนี้ฉันกำลังตรวจสอบอยู่ว่ามันให้ผลลัพธ์ยังไงบ้าง แต่ทว่า..."""
ssn_015331_0040#0,"""พอไปขอความช่วยเหลือจากกองกำลังคนอื่นๆ พวกเขาก็ยุ่งอยู่กับภารกิจอื่นกันหมด..."""
ssn_015331_0050#0,"""การรบดำเนินมาได้สักพักแล้ว และเราก็ยังไม่มีความคืบหน้ามากอย่างที่ต้องการ..."""
ssn_015331_0060#0,"""แต่ช่วงนี้ได้ยินเรื่องราววีรกรรมของเธอมา เลยสงสัยว่าจะขอความช่วยเหลือจากเธอได้ไหมน่ะ"""
ssn_015331_0070#0,"""ถ้าพอจะมีเวลาว่างล่ะก็ รบกวนช่วยบันทึกข้อมูลจาก Regional Mags ให้ทีได้ไหม?"""
ssn_015331_0080#0,"""สถานที่คือเกาะ Strobol Island ที่อยู่ใน Stia's Fringes นี้นี่เอง"""
ssn_015331_0090#0,"""สิ่งที่ต้องทำก็แค่ป้อนไอเทมให้กับ Regional Mag ที่นั่นเท่านั้นแหละ"""
ssn_015331_0100#0,"""ขอบคุณล่วงหน้านะ!"""
