name_7448#0,"""Katsuragi"""
ssn_015330_0001#0,"""เธอต้องเป็น ARKS หน้าใหม่จาก Aelio แน่เลย! ฉันได้ยินข่าวลือเรื่องเธอมาบ้าง เธอต้องเก่งมากแน่ๆ"""
ssn_015330_0002#0,"""พวก DOLLS ใน Stia ล้วนเป็นศัตรูที่น่าเกรงขามทั้งนั้น การมี ARKS ฝีมือระดับเธออยู่ที่นี่ถือว่าเป็นเรื่องน่ายินดีมากเลยล่ะ"""
ssn_015330_0101#0,"""ฉันชื่อ Katsuragi อยู่ในหน่วยแนวหน้า ทำหน้าที่ดูแลเรื่องการสนับสนุนด้านเทคนิคน่ะ!"""
ssn_015330_0102#0,"""ฉันคอยสนับสนุนการรบด้วยการศึกษาโครงสร้างและศัตรูที่มีอยู่ใน Stia แต่ว่า..."""
ssn_015330_0103#0,"""เจอเข้ากับปัญหานิดหน่อยน่ะ อยากจะขอให้เธอมาช่วยหน่อยจะได้ไหม"""
ssn_015330_0104#0,"""พอจะลองฟังฉันหน่อยได้ไหม?"""
ssn_015330_0201#0,"""ช่วยรวบรวมข้อมูลของ Regional Mag ให้ทีสิ เอาตัวที่อยู่ใน Stia's Fringes ก็ได้ ถ้าเธอไม่รังเกียจ"""
ssn_015330_0202#0,"""ขอบคุณมากๆ เลยนะ!"""
ssn_015330_0301#0,"""อ้าว งั้นเหรอ... เอาเป็นว่าถ้ามีเวลาว่างก็มาบอกกันได้นะ จะขอบคุณมากเลย"""
ssn_015330_1001#0,"""ขอบใจมากสำหรับเรื่องเมื่อกี้นะ! ช่วยได้เยอะเลย"""
ssn_015330_1002#0,"""ถ้ามีเรื่องอื่นอีกล่ะก็ หวังว่าเธอคงไม่ว่าอะไรนะถ้าฉันจะขอเรียกใช้เธออีก ถึงตอนนั้นก็อยากขอความช่วยเหลือจากเธออีกครั้งล่ะ"""
ssn_015330_1101#0,"""ดีใจจังที่ได้เจอเธอ! อันที่จริง มีเรื่องอยากจะขอให้เธอช่วยอีกแล้วล่ะ"""
ssn_015330_1102#0,"""ก็แค่... คราวนี้อาจจะอันตรายสักหน่อย เพราะงั้นฉันไม่ได้บังคับนะว่าเธอต้องทำ"""
ssn_015330_1201#0,"""ช่วยเก็บข้อมูลของ Recon Gigantix ให้หน่อยสิ สิ่งที่ต้องทำก็แค่เข้าไปใกล้ๆ และยืนยันด้วยตาเปล่าเท่านั้นเอง"""
ssn_015330_1202#0,"""ยังไม่รู้ความแข็งแกร่งของเป้าหมายเลย ยังไงก็ระวังตัวให้มากที่สุดด้วยนะ"""
ssn_015330_1301#0,"""เข้าใจล่ะ... งั้นก็ ถ้าเปลี่ยนใจเมื่อไหร่ก็ช่วยบอกทีนะ"""
ssn_015330_1401#0,"""ขอบใจเธอมากเลยนะ ทำให้เราได้รับข้อมูลที่มีค่ามามากมายเลยล่ะ"""
ssn_015330_1402#0,"""เราจะนำมันไปใช้ให้เกิดประโยชน์ในการรบครั้งต่อๆ ไปแน่นอน กองกำลังคนอื่นๆ ก็ฝากขอบคุณมาด้วยนะ"""
ssn_015330_1403#0,"""ถ้ามีอะไรเพิ่มเติมล่ะก็ หวังว่าจะพึ่งพาเธอได้อีกนะ เดินทางปลอดภัยล่ะ!"""
