name010#0,"""Рал"""
text010#0,"""Хм, ты хорошо прицеливаешься. А теперь,<br>можешь использовать “Step Attack”?"""
text020#0,"""Попробуй атаковать одну из тренировочных<br>мишеней, избегая её атак."""
Text_Lock#0,"""Взять в прицел: """
Button_Lock#0,"""<%LockOn>"""
Text_Avoid#0,"""Уворот: """
Button_Avoid_Pad#0,"""<%Avoid>"""
Button_Avoid_Key#0,"""Дважды кнопку перемещения"""
Text_StepAttack#0,"""Step Attack'а: """
Button_StepAttack_Pad#0,"""<pict 4space><%NormalAttack> после <%Avoid><pict 4space>"""
Button_StepAttack_Key#0,"""Кнопку направления"""
Button_StepAttack_Key2#0,"""после двойного нажатия <pict 4space><%NormalAttack>"""
