text01#0,"""안녕, 리더!<br>내 도움이 필요해?"""
text02#0,"""내 파트너 카드는<br>이그니스에게 맡겨 뒀어.<br>그녀에게 받아 줄래?"""
11_voice_NPC_5655_104#0,"""이번 대장은 이그니스야.<br>하지만…… 아직 별로 대화하지 않아서<br>그녀를 잘 모르겠단 말이지."""
text01#1,"""곤란한 아크스를 돕는 임무라니<br>정말 나한테 딱 맞지!"""
11_voice_NPC_5655_901#0,"""다들 이유는 다른 것 같지만<br>사람을 도울 수 있으니까<br>이유 같은 건 아무래도 좋지!"""
text03#0,"""리더도<br>곤란할 땐 나를 불러 줘!<br>바로 달려갈 테니까!"""
text01#2,"""리더는 멋쟁이구나.<br>무기와 복장을 조합하는 게<br>센스 있다고 생각했어."""
11_voice_NPC_5655_101#0,"""외모에 신경 쓰는 건 중요하지!<br>역시 희망의 전사라면<br>멋있어야 하니까!!"""
text01#3,"""희망의 전사 옵트레이온 등장!<br>좋아, 자기소개 준비도<br>완벽해!!"""
11_voice_NPC_5655_101#1,"""자, 가자!<br>곤란한 사람들을 위해!"""
text01#4,"""아, 이번 임무 말인데<br>일단락된 것 같아.<br>도움이 돼서 다행이야!"""
11_voice_NPC_5655_101#2,"""그래도 가장 기뻤던 건<br>다들 내가 만든 밥을<br>맛있게 먹어 준 거야!"""
text03#1,"""몇 그릇이나 더 먹었다고!<br>맛있게 먹는 모습을 보면<br>또 만들고 싶어지잖아."""
text04#0,"""다음에는 리더도 먹으러 와.<br>리더가 좋아하는 요리를<br>열심히 만들어 줄게!!"""
11_voice_NPC_5655_901#1,"""언제든 기다리고 있을게!<br>물론 사람을 돕는 일도<br>얼마든지 환영이야!"""
