name01#0,"""Сиерра"""
text01#0,"""Сейчас я расскажу вам<br>о технике <red>Zondeel<c>!"""
text02#0,"""Zondeel, являясь техникой<br>элемента молнии, <red>способно<br>генерировать электромагнитное<br>поле и стягивать врагов в одну<br>точку<c>."""
text03#0,"""А теперь, давайте попробуем<br>использоать Zondeel чтобы<br>стянуть рагов."""
text101#0,"""4-я задача: <yellow>Стяните врагов с помощью Zondeel"""
train_title#0,"""4-я задача: <yellow>Стянуть врагов с помощью Zondeel"""
tut_title#0,"""『ゾンディール』について"""
text100#0,"""・<%PhotonArts> для активации Zondeel<br>чтобы стянуть врагов"""
text100_3b#0,"""・<%PhotonArts> для активации Zondeel<br>чтобы стянуть врагов"""
tut_win_title#0,"""『ゾンディール』について"""
tut_win_text100#0,"""Zondeel - это техника молнии, генерирующая<br>электромагнитное поле стягивающее врагов.<br><br>После активации, он некоторое время остаётся<br>на месте и продолжает стягивать врагов.<br><br>Использование других техник молний в области<br>действия взоврёт его, заставив исчезнуть."""
