name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>класса тектер!"""
text02#0,"""Для начала я расскажу<br>о <red>Gear ванда<c>!"""
text03#0,"""При заполнении шкалы Gear ванда,<br>при совершении обычной атаки, <br><red>обычные атаки будут взрыаться,<br>нанося технический урон<c>."""
text04#0,"""А теперь, давайте попробуем<br><red>заполнить шкалу Gear<c> и провести<br>взрывные атаки."""
text101#0,"""1-я задача: <yellow>Накопите 1 или больше шкал Gear, чтобы сгенерировать взрыв при атаке"""
train_title#0,"""1-я задача: <yellow>Накопить 1 или больше шкал Gear, чтобы сгенерировать взрыв при атаке"""
tut_title#0,"""Gear ванда"""
text100#0,"""・Используйте техники <%PhotonArts><br>для заполнения шкалы<br>・При обычной атаке <%NormalAttack><br>будут генерироваться взрывы"""
text100_3b#0,"""・Используйте техники <%PhotonArts><br>для заполнения шкалы<br>・При обычной атаке <%NormalAttack><br>будут генерироваться взрывы"""
tut_win_title#0,"""Gear ванда"""
tut_win_text100#0,"""При освоении классового умения \""Wand Gear\"",<br>вы сможете улучшить боевые характеристики ванда.<br><br>При применении заряженных техник, будут заполняться<br>шкалы Gear одна за другой.<br><br>В зависимости от степени заполненности<br>Gear'а ванда, врагам будет наноситься<br>дополнительный урон при использовании <br>обычных атак."""
