name01#0,"""Сиерра"""
text01#0,"""А теперь я вам расскажу<br>о технике <red>Zanverse<c>!"""
text02#0,"""Если в пределах действия Zanverse<br>будет атакован враг, то <red>он<br>получит дополнительный<br>технический урон ветром<c>.  """
text03#0,"""А теперь давайте используем<br>Zanverse и нанесём удар."""
text101#0,"""3-я задача: <yellow>Нанесите дополнительный урон с помощью Zanverse"""
train_title#0,"""3-я задача: <yellow>Нанести дополнительный урон с помощью Zanverse"""
tut_title#0,"""『ザンバース』について"""
text100#0,"""・Для активации Zanverse <%PhotonArts><br>・Выполните обычную атаку <%NormalAttack>,<br>чтобы допонительно нанести<br>урон Zanverse'ом"""
text100_3b#0,"""・Для активации Zanverse <%PhotonArts><br>・Выполните обычную атаку <%NormalAttack>,<br>чтобы допонительно нанести<br>урон Zanverse'ом"""
tut_win_title#0,"""『ザンバース』について"""
tut_win_text100#0,"""Zanverse - это техника ветра, которая при атаке<br>в зоне её действия, вызывает дополнительню<br>техническую атаку ветром.<br><br>Можно наносить дополнительный урон, оставаясь<br>в пределах зоны действия данной техники в течение<br>периода действия.<br><br>Дополнительный урон также смогут наносить<br>и члены группы."""
