name01#0,"""Сиерра"""
text01#0,"""Сейчас я расскажу вам о<br>Resta!"""
text02#0,"""<red>Resta<c> - это техника света,<br>которая может <red>восстановить<br>ваши HP и HP ближайших<br>союзников<c>."""
text03#0,"""А теперь давайте попробуем<br>восстановить своё HP<br>и HP Афина."""
text101#0,"""2-я задача: <yellow>Восстановите HP вашего напарника с помощью Resta"""
train_title#0,"""2-я задача: <yellow>Восстановить HP напарника с помощью Resta"""
tut_title#0,"""『レスタ』について"""
text100#0,"""・<%PhotonArts> для восстановления HP"""
text100_3b#0,"""・<%PhotonArts> для восстановления HP"""
tut_win_title#0,"""『レスタ』について"""
tut_win_text100#0,"""Resta - это техника света, способная восстаноить<br>HP союзников, находящихся в пределах досягаемости.<br><br>Также, можно попасть под эффект данной техники,<br>зайдя в область применения, в течение периода<br>времени, пока та ещё действует.<br><br>Довольно полезно использовать в бою до получения<br>урона."""
