Title#0,"""Force: การฝึกฝนขั้นพื้นฐาน"""
Summary#0,"""Hounyan ครูฝึก ARKS สอนวิธีต่อสู้ด้วยคลาส Force<br><br><yellow>※Class Skill ที่แนะนำ:<br>\u3000Photon Flare<c>"""
Objective311#0,"""ตั้งค่า Main Class ของคุณเป็น Force"""
text0101#0,"""ตั้งค่า Main Class ของคุณเป็น Force"""
Objective321#0,"""เดินทางไปยัง Mt. Magnus"""
text0102#0,"""เดินทางไปยัง Southern Aelio ด้วยคลาส Force"""
text0103#0,"""ใช้งาน Photon Flare"""
Objective322#0,"""ใช้งาน Photon Flare"""
Objective323#0,"""กำจัดศัตรูที่ Mt. Magnus ด้วยคลาส Force"""
text0104#0,"""กำจัดศัตรูที่ Southern Aelio ด้วยคลาส Force"""
Objective331#0,"""รายงานตัวกับ Hounyan"""
