name_7199#0,"""구이덴"""
msn_005013_0001#0,"""음, 순조롭게 힘을 키우고 있는 모양이군."""
msn_005013_0002#0,"""하지만 아직 배워야 할 건 많다.<br>계속해서 모두에게 말을 걸어 보도록."""
msn_005013_0101#0,"""모두의 힘이 되어 준 모양이군."""
msn_005013_0102#0,"""이제 슬슬 각 클래스에 대해 배워도 되겠군."""
msn_005013_0103#0,"""다양한 클래스를 자유자재로 다룰 수 있게 되면<br>강력한 돌즈를 상대로도 우위를 점할 수 있다."""
msn_005013_0104#0,"""센트럴 시티에는 각 클래스의 교관이 있다.<br>모두에게 협조해 달라고 전해 두었다."""
msn_005013_0105#0,"""센트럴 시티 남동쪽에 있으니,<br>각 클래스에 대해 제대로 배워 두도록."""
msn_005013_0201#0,"""꽤 힘이 붙은 모양이군."""
msn_005013_0202#0,"""그 몸가짐을 보니… 알 수 있다.<br>이제 어엿한 아크스라고 해도 되겠군."""
msn_005013_0203#0,"""그리고… 모르는 게 있다면,<br>지금까지 배운 걸 떠올려 보도록."""
msn_005013_0204#0,"""앞으로의 활약을 기대하겠다."""
