msc_040350_0010#0,"""끝난… 거야?"""
msc_040350_0020#0,"""아니, 아직 안 끝났어.<br>저걸 봐."""
msc_040350_0030#0,"""이런 이런, 놀랐는걸."""
msc_040350_0040#0,"""생각보다 꽤 하는데?<br>역시 가디언은 좀 전의 잡것들이랑은 차원이 다르군."""
msc_040350_0050#0,"""그 모습… 설마, 당신은…!"""
msc_040350_0060#0,"""왜 네가 여기에 있지?"""
msc_040350_0070#0,"""넌 대체 누구야?"""
msc_040350_0080#0,"""글쎄, 왜일까? 내가 얼터 렐름에 있는 이유가."""
msc_040350_0090#0,"""이미 눈치는 챘겠지?"""
msc_040350_0100#0,"""조사대 사람들을 해친 게 당신이었어!?<br>대체 왜!!"""
msc_040350_0110#0,"""그렇게 무서운 표정 짓지 말라고, 아이나 군."""
msc_040350_0120#0,"""모처럼 여기까지 왔으니<br>포상으로 \""진실\""을 보여줘야겠지."""
msc_040350_0130#0,"""…자, 어쩔 거지?<br>사령관님께 칼을 겨눌 셈인가?"""
msc_040350_0140#0,"""설마…<br>정말 크로포드인 거야…?"""
msc_040350_0150#0,"""…아냐.<br>이 녀석… 스타레스야."""
msc_040350_0160#0,"""스타레스?"""
msc_040350_0170#0,"""틀림없어. 이 불쾌한 느낌…<br>전에 덤벼들던 에너미들이랑 똑같아."""
msc_040350_0180#0,"""헤에, 눈치챘나."""
msc_040350_0190#0,"""…너는… 흐흐, 그렇군."""
msc_040350_0200#0,"""뭐, 됐어. 아직은 때가 아니야."""
msc_040350_0210#0,"""기다려! 당신은 대체…!"""
msc_040350_0220#0,"""그렇다면… 얼터 크로포드라고 불러볼까."""
msc_040350_0230#0,"""후후, 그렇게 서두를 필요 없어.<br>\""계획\""은 이미 시작됐으니까."""
msc_040350_0240#0,"""…조만간 더 재미있어질 거야."""
msc_040350_0250#0,"""사라졌어…."""
msc_040350_0260#0,"""얼터… 크로포드…?"""
msc_040350_0270#0,"""조사대 여러분… 미안해.<br>우리가 더 빨리 도착했더라면…."""
msc_040350_0280#0,"""위로가 되는 말은 아니겠지만…<br>잘못한 건 스타레스지? 당신이 아니야."""
msc_040350_0290#0,"""응, 알아. 그래도… 역시 분해."""
msc_040350_0300#0,"""그래. 하지만 이걸로 알았어.<br>얼터 렐름은 단순한 미지의 영역이 아니야."""
msc_040350_0310#0,"""할파를 본뜬, 어떤 의도를 가진 장소고…<br>여기엔 우리가 아는 사람 모습을 한 적이 있어."""
msc_040350_0320#0,"""아까 그 녀석이 말했지.<br>계획은 이미 시작됐다고…."""
msc_040350_0330#0,"""이걸로 끝이 아냐.<br>오히려 이제 시작이라는 거네."""
msc_040350_0340#0,"""이번 일은 보고하자."""
msc_040350_0350#0,"""돌아가서 전투에 대비하자."""
msc_040350_0360#0,"""그래, 조사대 일도 가짜 크로포드 일도…<br>보고해야 할 게 너무 많아."""
msc_040350_0370#0,"""응. 조사대 일도, 가짜 놈 일도<br>크로포드에게 알려야 해."""
msc_040350_0380#0,"""이번에야말로 돌아가자. 우리 할파로."""
name01#0,"""？？？"""
