name_7016#0,"""그렌"""
name_7022#0,"""카누이"""
msn_027620_0010#0,"""와 있었나."""
msn_027620_0020#0,"""상의 중이었어?"""
msn_027620_0030#0,"""내가 방해했나?"""
msn_027620_0035#0,"""또 보자!"""
msn_027620_0040#0,"""그래, 그런 셈이지."""
msn_027620_0050#0,"""아니, 괜찮다."""
msn_027620_0060#0,"""현재 스티아의 병력에 대해서<br>확인하고 있었다."""
msn_027620_0070#0,"""오랫동안 스티아의 인원에는<br>큰 움직임이 없었습니다만…."""
msn_027620_0080#0,"""최근, 다른 리전에서의 유입이 늘어<br>태세 재정비가 필요해졌습니다."""
msn_027620_0090#0,"""주로 에아리오에서 온 증원이다."""
msn_027620_0100#0,"""브루더나 아이나 덕분이지."""
msn_027620_0110#0,"""신병 육성이 진행돼서,<br>전력적인 부분에서 상당히 여유가 생겼어."""
msn_027620_0120#0,"""얼마 전까지만 해도,<br>어디든 빠듯하게 꾸려가고 있었는데 말이지."""
msn_027620_0130#0,"""게다가 소수이기는 합니다만<br>리템에서 오는 이들도 있습니다."""
msn_027620_0140#0,"""리템에서?"""
msn_027620_0150#0,"""리템에도 여유가 있나?"""
msn_027620_0160#0,"""서로의 전술이나,<br>전투 기술을 배우는 것이 주된 목적입니다."""
msn_027620_0170#0,"""그쪽에도<br>에아리오에서 증원 부대가 파견되었습니다."""
msn_027620_0180#0,"""그 결과,<br>이쪽으로 보낼 여력이 생긴 것이겠지요."""
msn_027620_0190#0,"""요즘<br>여러모로 변화가 커."""
msn_027620_0200#0,"""사람과 물자의 교류가<br>전례 없을 정도로 늘고 있다."""
msn_027620_0210#0,"""어느 리전 소속인지에 관한 건,<br>사소한 부분이 되어 갈지도 모르지."""
msn_027620_0220#0,"""처음에는 스티아의 병력이라고 말했다만,<br>더욱 큰 규모로 전력을 생각해야 할 시기인 것 같군."""
msn_027620_0230#0,"""실제로, 지난번 스타레스와의 싸움에서는<br>리전의 구분을 넘어 용병이 이루어졌어."""
msn_027620_0240#0,"""전술적인 레벨에서는,<br>아직 미흡한 부분도 있었지만…."""
msn_027620_0250#0,"""리전 간의 연계는<br>성공적이였다 생각한다."""
msn_027620_0260#0,"""그때의 경험을 바탕으로,<br>부대 편성을 재검토하고 있는 것입니다."""
msn_027620_0261#0,"""그건 그렇고, 그러한 상의 때문에,<br>나도 스티아 밖으로 나갈 일이 늘었다."""
msn_027620_0262#0,"""책상에 앉아 있는 시간도 늘어서<br>상대적으로 무기를 손에 쥘 시간이 줄었지."""
msn_027620_0263#0,"""사무 업무는<br>아무래도 내 적성에 안 맞아."""
msn_027620_0264#0,"""또 그런 말씀을…."""
msn_027620_0270#0,"""원래 부대의 대장이 전선에 나가<br>싸우는 상황이 이상한 겁니다."""
msn_027620_0280#0,"""당신도<br>한마디 거들어 주세요."""
msn_027620_0290#0,"""리더는 사무 업무도 중요해."""
msn_027620_0300#0,"""무기를 휘두르는 것이 아크스의 임무."""
msn_027620_0310#0,"""그 말 대로입니다."""
msn_027620_0320#0,"""음…."""
msn_027620_0330#0,"""…당신도 그런 말을…."""
msn_027620_0340#0,"""아크스의 본질을 잘 이해하고 있군."""
msn_027620_0350#0,"""…정말이지."""
msn_027620_0360#0,"""어쨌든,<br>내일 일을 알 수 없던 상황에서 크게 벗어났다."""
msn_027620_0370#0,"""지금의 좋은 흐름을 유지<br>아니, 가속해야만 한다."""
msn_027620_0380#0,"""그러기 위해선<br>아직 네 힘이 더 필요하다."""
msn_027620_0390#0,"""이런저런 상담을 부탁하고 싶다."""
msn_027620_0400#0,"""물론, 네가 하는 상담도 들어주지."""
msn_027620_0410#0,"""앞으로도 잘 부탁한다."""
