name_7013#0,"""이루마"""
msn_022061_0010#0,"""도착한 모양이네.<br>아아, 바로 그 근처야."""
msn_022061_0020#0,"""전에 말했었지?<br>돌즈는 스타레스를 본떠서 만들었다고."""
msn_022061_0030#0,"""그래서 모든 부분에서,<br>유사할 가능성이 있어."""
msn_022061_0040#0,"""생성 과정 갓은 것도.<br>…아직 가설 단계에 불과하지만."""
msn_022061_0050#0,"""그래서, 돌즈의 생산 과정을 다시 한번 살펴보는 거로<br>뭔가 알 수 있는 것이 있을지도 몰라서."""
msn_022061_0060#0,"""그래서,<br>그 데이터가 필요했어."""
msn_022061_0070#0,"""…좋아.<br>얘기하는 동안 대충은 알아낸 것 같아."""
msn_022061_0080#0,"""그리고…<br>하나 더…."""
msn_022061_0090#0,"""로스트 센트럴 쪽에도 가줬으면 좋겠어.<br>너와 처음 만났던 그 장소로."""
msn_022061_0100#0,"""그쪽도 도착하고 나면 자세하게 얘기할게.<br>우선은, 그쪽으로 가줄 수 있겠어?"""
