msc_022020_0010#0,"""마논!"""
msc_022020_0020#0,"""아이나… <%me> 너도…."""
msc_022020_0030#0,"""다행이야….<br>드디어 만났어."""
msc_022020_0040#0,"""…응."""
msc_022020_0050#0,"""그 옷은… 어떻게 된 거야?"""
msc_022020_0060#0,"""크로포드에게 받았어."""
msc_022020_0070#0,"""예전 거는,<br>리서전트 아크스의 옷이었거든."""
msc_022020_0080#0,"""아, 그렇구나…."""
msc_022020_0090#0,"""잘 어울려."""
msc_022020_0100#0,"""예전이 더 나았어."""
msc_022020_0110#0,"""응? 그, 그런가?"""
msc_022020_0120#0,"""응….<br>몸에는 익숙해졌어."""
msc_022020_0130#0,"""으음…."""
msc_022020_0140#0,"""이전 것도 잘 어울렸지만,<br>지금도 좋으려나?"""
msc_022020_0150#0,"""고마워."""
msc_022020_0160#0,"""지금 시간 있어?"""
msc_022020_0170#0,"""오랜만에 많은 이야기를 나누고 싶어."""
msc_022020_0180#0,"""그렇네…."""
msc_022020_0190#0,"""근데 미안해.<br>지금부터 조사단의 상담 때문에, 그렌에게 가봐야 해."""
msc_022020_0200#0,"""…아 그렇구나…."""
msc_022020_0210#0,"""우리도 도와주고 싶었는데,<br>안 된다고 해서…."""
msc_022020_0220#0,"""너희들에게도<br>다른 임무가 있는 거지?"""
msc_022020_0230#0,"""그렇다면 그쪽에 집중하는 게 좋다고 생각해."""
msc_022020_0240#0,"""으, 응…."""
msc_022020_0250#0,"""마논…."""
msc_022020_0260#0,"""마논은 혼자서도 괜찮겠어?"""
msc_022020_0270#0,"""…그렇네.<br>어떠려나…."""
msc_022020_0280#0,"""걱정거리라도 있어?"""
msc_022020_0290#0,"""조사가 싫어?"""
msc_022020_0300#0,"""걱정거리….<br>그렇네…."""
msc_022020_0310#0,"""아니, 그렇진 않아…."""
msc_022020_0320#0,"""…모두를 만나는 게 두려워."""
msc_022020_0330#0,"""나는, 할파 사람들에게<br>절대 용서받지 못할 일을 저질렀으니까…."""
msc_022020_0340#0,"""아냐…."""
msc_022020_0350#0,"""마논은 나쁘지 않아!"""
msc_022020_0360#0,"""크로포드 일행도,<br>마논은 \""동료\""랬는걸!"""
msc_022020_0370#0,"""…설령 그렇다고 해도,<br>과거가 사라지는 것은 아니야…."""
msc_022020_0380#0,"""속죄하려면,<br>어떻게 해야 할까…."""
msc_022020_0390#0,"""그 생각만 자꾸 하게 되는걸."""
msc_022020_0400#0,"""무슨 일이 있으면 힘이 되어줄게."""
msc_022020_0410#0,"""또 혼자 끌어안으려고…."""
msc_022020_0420#0,"""……고마워."""
msc_022020_0430#0,"""그렇네….<br>나쁜 버릇이네."""
msc_022020_0440#0,"""여기 있었군, 마논."""
msc_022020_0450#0,"""…그렌."""
msc_022020_0460#0,"""미안.<br>서둘러야겠어."""
msc_022020_0470#0,"""위치는 알고 있지?"""
msc_022020_0480#0,"""응."""
msc_022020_0490#0,"""그렌.<br>마논은 쭉 저런 모습이었어?"""
msc_022020_0500#0,"""주변과의 거리감을<br>가늠하지 못하고 있는 것 같다."""
msc_022020_0510#0,"""…아직 회의적인 시선을 보내는 사람들도 있거든."""
msc_022020_0520#0,"""그럴수가…<br>마논은 할파를 위해 싸워왔는데…."""
msc_022020_0530#0,"""역시 우리가…."""
msc_022020_0540#0,"""잘 지켜봐줘."""
msc_022020_0550#0,"""그건 안 돼."""
msc_022020_0560#0,"""애초부터 그럴 생각이었다."""
msc_022020_0570#0,"""솔직히, 나도 생각하는 부분은 있어."""
msc_022020_0580#0,"""…하지만, 너희에겐 이미 신세를 져 왔어."""
msc_022020_0590#0,"""내게 맡겨둬.<br>나쁘게 하진 않을게."""
msc_022020_0600#0,"""마논, 또 혼자가 됐어.<br>혼자 안고 있지 않았으면 하는데…."""
msc_022020_0610#0,"""그렌은 저렇게 말했지만,<br>가끔씩 어떤지 보러 가자."""
msc_022020_0620#0,"""너도 신경 써줘."""
