name_7002#0,"""아이나"""
name_7001#0,"""마논"""
name_7004#0,"""크로포드"""
msn_040140_0010#0,"""<%me>.<br>들리나?"""
msn_040140_0020#0,"""조사대로 보이는 존재들과 교전한 기록은 확인했다.<br>상황은 어떻게 됐지?"""
msn_040140_0030#0,"""우리도 아직 잘 모르겠어.<br>그래도 우리를 습격해 온 건 사실이야."""
msn_040140_0040#0,"""그리고 우리를 도와준 애가 하나 있어."""
msn_040140_0050#0,"""자세한 건 나중에 보고하겠지만, 얼터 렐름에서 만난 소녀야.<br>어떤 이유인지 기억을 잃은 것 같아."""
msn_040140_0060#0,"""그렇군… 너희의 안전을 지켜줬다면<br>우선 감사부터 전해야겠네."""
msn_040140_0070#0,"""일단 상황은 파악했다. 그녀도 신경 쓰이지만,<br>지금은 조사대의 이상을 우선해야 해."""
msn_040140_0080#0,"""우린 한 번 더 얼터 렐름으로 갈 생각이야.<br>조사대를 이대로 내버려 둘 수는 없어."""
msn_040140_0090#0,"""알겠다. 하지만 그들이 완전히 이성을 잃었고,<br>구출이 불가능하다고 판단되면…."""
msn_040140_0100#0,"""그땐 잔혹한 선택을 해야 할지도 모른다.<br>미안하지만 각오해 둬."""
msn_040140_0110#0,"""…응. 알았어."""
