msc_027170_0010#0,"""…돌아온 모양이네."""
msc_027170_0020#0,"""하지만 제페토의 모습은… 안보이네."""
msc_027170_0030#0,"""무슨 일이 있었는지, 들려주지 않을래?"""
msc_027170_0040#0,"""제페토의 정신이,<br>그… 4th 클론의 몸에 들어가려고 했고…."""
msc_027170_0050#0,"""다른 \""무언가\""에<br>몸을 탈취당했다."""
msc_027170_0060#0,"""여전히… 상상을 초월하는 일이<br>연이어 일어나네."""
msc_027170_0070#0,"""다음은 무슨 일이 일어날지…."""
msc_027170_0080#0,"""…이 자리에 제페토가 있었다면,<br>여러 가지를 물어볼 수 있었을텐데…."""
msc_027170_0090#0,"""많은 이야기를 할 수는 없다만…."""
msc_027170_0100#0,"""어?"""
msc_027170_0110#0,"""그 \""무언가\""에 대한건<br>이야기 해주지."""
msc_027170_0120#0,"""…파리아?"""
msc_027170_0130#0,"""혹시, 제페토?"""
msc_027170_0140#0,"""…나다."""
msc_027170_0150#0,"""제페토…?"""
msc_027170_0160#0,"""그렇다."""
msc_027170_0170#0,"""녀석의 이름은 \""바엘\""."""
msc_027170_0180#0,"""다크 펄스급 스타레스는<br>많은 스타레스를 하나로 묶는 존재."""
msc_027170_0190#0,"""그중에서도 바엘은,<br>그 다크 펄스급을 통솔하는 존재."""
msc_027170_0200#0,"""즉, 스타레스의<br>\""왕\""이라고도 할 수 있는 존재다."""
msc_027170_0210#0,"""내 정신은,<br>곧 완전히 그 녀석에게 흡수될 거야."""
msc_027170_0220#0,"""그렇게 되기 전에,<br>그 일부를 파리아에게 옮겨 두었다."""
msc_027170_0230#0,"""바엘의 정신과 융합하여,<br>나는 스타레스라는 것의 본질을 이해했다."""
msc_027170_0240#0,"""녀석들은 항상 굶주려 있다."""
msc_027170_0250#0,"""포톤을 원해서,<br>무한한 우주를 헤매고 있다."""
msc_027170_0260#0,"""500년 전, 극도의 굶주림에 시달리던 녀석들은<br>미세한 포톤 반응을 감지하고, 우리 앞에 나타났다."""
msc_027170_0270#0,"""그리고 많은 것들을 먹어치웠다."""
msc_027170_0280#0,"""거기서 깨달은 것이다."""
msc_027170_0290#0,"""자신들이 먹고 있는 것들이 가진 포톤이<br>너무 적다는 것을."""
