msc_027160_0010#0,"""음… 잘 합쳐지고 있군…."""
msc_027160_0020#0,"""…이 힘이 있다면,<br>\""그 녀석\""에게도 이길 수 있겠지."""
msc_027160_0030#0,"""그 녀석…이 뭐야?"""
msc_027160_0040#0,"""500년 전에 나타난<br>최강의 다크 펄스급 스타레스."""
msc_027160_0050#0,"""가장 많은 행성계를 파괴하고<br>인류 종족의 희생을 강요한 존재다."""
msc_027160_0060#0,"""그런 녀석이… 있는 거야?"""
msc_027160_0070#0,"""당시 내가 소속되어 있던 대 스타레스 부대도<br>그 녀석에게 파괴당했다…."""
msc_027160_0080#0,"""그 싸움 속에서<br>나는 공격을 받고 쓰러졌다."""
msc_027160_0090#0,"""…그리고, 오랜 시간… 의식을 잃었었다."""
msc_027160_0100#0,"""깨어났을 적에는,<br>어떠한 것도 남아있지 않았다."""
msc_027160_0110#0,"""내가 태어나고 자란 행성도,<br>가족이나 많은 동료들도…."""
msc_027160_0120#0,"""심지어, 스타레스의 모습 조차도<br>홀연히 사라져 있었다."""
msc_027160_0130#0,"""그 당시의 나는 그저<br>무로 돌아간 세상 속에서, 멍하니 서 있을 수밖에 없었다…."""
msc_027160_0140#0,"""그 치욕을, 이제야 씻을 수 있게 되었다."""
msc_027160_0150#0,"""…이걸로, \""리서전트 아크스\""의 계획은,<br>진정한 의미로 성취된다."""
msc_027160_0155#0,"""…음."""
msc_027160_0160#0,"""파리아, 모든 것이 완료되었군."""
msc_027160_0170#0,"""네."""
msc_027160_0180#0,"""좋아, 그럼…."""
msc_027160_0190#0,"""뭐지!?"""
msc_027160_0200#0,"""…이, 이것은…."""
msc_027160_0210#0,"""…바엘!?"""
msc_027160_0220#0,"""그런가… 그런거였나…."""
msc_027160_0230#0,"""무슨 일이 일어난거야?"""
msc_027160_0240#0,"""오지마! 아이나!"""
msc_027160_0251#0,"""왓…."""
msc_027160_0253#0,"""캬아…."""
msc_027160_0255#0,"""그윽…."""
msc_027160_0257#0,"""흣!"""
msc_027160_0260#0,"""뭐, 뭐야!?"""
msc_027160_0270#0,"""제페토！"""
msc_027160_0275#0,"""………."""
msc_027160_0280#0,"""어떻게 된거야!?<br>대답해 줘!"""
msc_027160_0290#0,"""………."""
msc_027160_0300#0,"""아이나, 조심해!"""
msc_027160_0310#0,"""아이나, 가까이 가지마!"""
msc_027160_0320#0,"""알고있어!"""
msc_027160_0330#0,"""하, 하지만!"""
msc_027160_0335#0,"""으… 으음…."""
msc_027160_0340#0,"""파리아!"""
msc_027160_0341#0,"""음…!"""
msc_027160_0343#0,"""으으……으…으음…."""
msc_027160_0345#0,"""큭……크윽……으… 으음…."""
msc_027160_0350#0,"""…괜찮아!?"""
msc_027160_0360#0,"""네…."""
msc_027160_0365#0,"""크으…윽…."""
msc_027160_0370#0,"""…도…망쳐."""
msc_027160_0380#0,"""나는… 이 몸을…<br>바엘을… 위상공간으로 날려보내겠다…."""
msc_027160_0390#0,"""그 사이에…탈출… 해라…."""
msc_027160_0400#0,"""…서둘러!"""
msc_027160_0410#0,"""제페토는 어떻게 되는건데?"""
msc_027160_0420#0,"""좀 더 이런저런 걸 물어보고 싶어!"""
msc_027160_0430#0,"""됐으니까… 가버려…."""
msc_027160_0433#0,"""으……으윽……."""
msc_027160_0435#0,"""큭…아아……으으……."""
msc_027160_0437#0,"""으으윽……."""
msc_027160_0440#0,"""우오오오오오오오오오오오!"""
msc_027160_0450#0,"""…제페토……."""
msc_027160_0460#0,"""…또 아무것도 알아내지 못했어…."""
msc_027160_0470#0,"""…여기서 일어났던 일을,<br>할파의 모두에게 알려주자."""
name01#0,"""？？？"""
