msc_040120_0010#0,"""이게 무슨…?<br>아크스가 우리를 습격하다니…!"""
msc_040120_0020#0,"""…아직 더 온다…!"""
msc_040120_0030#0,"""<%me>, 어떻게 할래?<br>이대로 가면 또…."""
msc_040120_0040#0,"""싸우자."""
msc_040120_0050#0,"""철수해야 해."""
msc_040120_0060#0,"""하지만 이래선 끝이 없어!"""
msc_040120_0070#0,"""그렇다고 해도 퇴로도 막혔어."""
msc_040120_0080#0,"""적어도 어디 다른 길이라도 있으면…."""
msc_040120_0090#0,"""…다른 길?"""
msc_040120_0100#0,"""…저기!"""
msc_040120_0110#0,"""뭐야? 공간이… 흔들려?"""
msc_040120_0120#0,"""이건 디멘션 리퍼…?<br>근데 왜 이런 곳에?"""
msc_040120_0130#0,"""모르겠어. 그래도 통과할 수는 있을 거야!"""
msc_040120_0140#0,"""얘기할 시간 없어. 가자!"""
name01#0,"""？？？"""
