msc_023200_0010#0,"""어라?<br>또 와준거야?"""
msc_023200_0020#0,"""무슨 보고를 했어?"""
msc_023200_0030#0,"""오늘은 한숨 쉬지 않았어?"""
msc_023200_0040#0,"""훈련 교관에 대한 거."""
msc_023200_0050#0,"""처음엔 힘들었지만,<br>잘 해낼 수 있을 거 같다고."""
msc_023200_0060#0,"""오늘은 안 쉬었어!"""
msc_023200_0070#0,"""훈련 교관에 대해서,<br>잘 할 수 있을 것 같다고 보고하고 있었어."""
msc_023200_0080#0,"""그보다, 저번 일에 대한 감사 인사<br>아직 제대로 하지 않았었네."""
msc_023200_0090#0,"""나와 훈련 대원들을<br>구해줘서 고마워."""
msc_023200_0100#0,"""아이나가 가장 힘냈어."""
msc_023200_0110#0,"""모두가 힘을 합친 결과야."""
msc_023200_0120#0,"""물론 나도 열심히 했어."""
msc_023200_0130#0,"""하지만 네가 없었다면,<br>더 힘들어졌을 것 같아."""
msc_023200_0140#0,"""그건 그래.<br>다들 정말 열심히 했어."""
msc_023200_0150#0,"""게다가 네가 와줬으니까,<br>잘 해결 됐어."""
msc_023200_0160#0,"""<%me> 너에겐,<br>계속 도움만 받고 있네."""
msc_023200_0170#0,"""위험할 때도 그렇지만…."""
msc_023200_0180#0,"""우울할 때도 격려해 줬고."""
msc_023200_0190#0,"""항상 언제든 네가 있었기 때문에,<br>열심히 할 수 있구나 하는 생각이 들어."""
msc_023200_0200#0,"""…앞으로도<br>계속 곁에 있어 줄 거지?"""
msc_023200_0210#0,"""아…!"""
msc_023200_0220#0,"""아, 아냐…!"""
msc_023200_0230#0,"""방금 건 취소!"""
msc_023200_0240#0,"""이상한 의미가 아니니까!"""
msc_023200_0250#0,"""나…나는 너의 곁에 있을 수 있도록,<br>앞으로도 노력해 나갈 거야."""
msc_023200_0260#0,"""이 할파를 지키는 아크스로서, 말야."""
msc_023200_0270#0,"""나도."""
msc_023200_0280#0,"""계속 곁에 있을게?"""
msc_023200_0290#0,"""응."""
msc_023200_0300#0,"""자, 자잠 잠깐!<br>정말… 하지 말라니까!"""
msc_023200_0310#0,"""뭐, 그렇게 됐으니.<br>앞으로도 잘 부탁해!"""
