msc_023140_0010#0,"""…누군가!<br>들리십니까!?"""
msc_023140_0020#0,"""여기는, 에아리오 훈련대 제 1반!"""
msc_023140_0030#0,"""아이나!?"""
msc_023140_0040#0,"""무사했구나!"""
msc_023140_0050#0,"""어!?<br><%me> 인거야!?"""
msc_023140_0060#0,"""그 목소리는…!<br>와준거야!?"""
msc_023140_0070#0,"""잘 들어!<br>여기는 모두 무사해."""
msc_023140_0080#0,"""하지만, 적에게 포위당해서<br>꼼짝도 할 수 없어."""
msc_023140_0090#0,"""음성: 아이나 부대의 모브 아크스①"""
msc_023140_0100#0,"""그, 그냥 리템까지 가는 것 뿐이였는데…."""
msc_023140_0110#0,"""안전한 길이 아니였냐고!"""
msc_023140_0120#0,"""따지고 보면<br>그쪽이 저 에너미를 공격했으니까…."""
msc_023140_0130#0,"""그치만!<br>저렇게 강할 줄 누가 알았겠냐고!"""
msc_023140_0140#0,"""훈련에서는 잘했는데…."""
msc_023140_0150#0,"""음성: 아이나 부대의 모브 아크스②"""
msc_023140_0160#0,"""…으으."""
msc_023140_0170#0,"""괜찮아."""
msc_023140_0180#0,"""다들 무사히 에아리오로 돌아갈 수 있어."""
msc_023140_0190#0,"""나는, 여태까지 많은 전투를 경험해 왔어."""
msc_023140_0200#0,"""크로포드나 브루더랑<br>비교할 정도는 아니지만…."""
msc_023140_0210#0,"""그래서, 배웠어."""
msc_023140_0220#0,"""아무리 어려운 상황이여도<br>극복할 수 있는 방법이 있다는 걸."""
msc_023140_0230#0,"""…그게<br>어떤…거죠?"""
msc_023140_0240#0,"""아크스 한 사람 한 사람의 힘."""
msc_023140_0250#0,"""그것을 하나로 만드는 것."""
msc_023140_0260#0,"""동료를 믿고, 마음을 뭉치면<br>반드시 돌파구가 보여."""
msc_023140_0270#0,"""아이나 교관님…."""
msc_023140_0280#0,"""자!<br>무기를 들어!"""
msc_023140_0290#0,"""아주 든든한 아군이,<br>도와주러 올 거야."""
msc_023140_0300#0,"""그때까지 최대한 교전은 피하고 싶지만,<br>적에게 발견되면 맞받아칠 거야."""
msc_023140_0310#0,"""괜찮아.<br>내가 가르쳐 준 것들을 떠올려 봐."""
msc_023140_0320#0,"""그걸 제대로 실천할 수만 있다면,<br>분명 성공할 거야."""
msc_023140_0330#0,"""네, 네!"""
msc_023140_0340#0,"""함께 훈련해온<br>인연의 힘을 믿어!"""
msc_023140_0350#0,"""인연의… 힘."""
msc_023140_0360#0,"""음성: 아이나 부대의 모브 아크스③"""
msc_023140_0370#0,"""<%me>, 듣고 있지."""
msc_023140_0380#0,"""이쪽은 가능한 한,<br>노력해볼게."""
msc_023140_0390#0,"""그러니까… 제발!<br>빨리 도와줘!"""
msc_023140_0400#0,"""지금 갈게!"""
msc_023140_0410#0,"""기다려!"""
msc_023140_0420#0,"""응! 기다릴게!"""
