Title#0,"""무한 연전: 추억의 저편으로"""
Explanation#0,"""훈련 프로그램 「특별 돌파 훈련」을<br>더욱 개량해 개발한<br>아크스 훈련용 프로그램입니다.<br>각 행성을 무대로 마련된 미션을<br>달성해 높은 성적을 노려 주세요.<br>제한 시간 안에 모두 주파하기는<br>매우 어려운 난도로 구성됐습니다.<br>――――――――――――――――――――<br>목표/하이 스코어 획득<br>최대 대미지 제한/999999"""
SimpleExplanation#0,"""제한 시간 안에 더 많은<br>스코어를 획득하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""VR 공간(삼림)"""
Area0L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area1S#0,"""VR 공간(시가지)"""
Area1L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area2S#0,"""VR 공간(용제단)"""
Area2L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area3S#0,"""VR 공간(유적)"""
Area3L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area4S#0,"""VR 공간(해안)"""
Area4L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area5S#0,"""VR 공간(해안)"""
Area5L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area6S#0,"""VR 공간(채굴장 터)"""
Area6L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area7S#0,"""VR 공간(마더 쉽 내부)"""
Area7L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area8S#0,"""VR 공간(백의 영역)"""
Area8L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area9S#0,"""VR 공간(부상 시설)"""
Area9L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area10S#0,"""VR 공간(괴세 구역\u3000지하 갱도)"""
Area10L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area11S#0,"""VR 공간(괴세 구역\u3000유적)"""
