TrialName_1Enemy#0,"""$(0) 토벌"""
TrialBeginMsg_1Enemy#0,"""나타난 $(0)을 쓰러뜨려라!"""
TrialAbstract_1Enemy#0,"""$(0)을 쓰러뜨리기"""
TrialName_Multi#0,"""에너미 토벌"""
TrialBeginMsg_Multi#0,"""나타난 에너미를 쓰려뜨려라！"""
TrialAbstract_Multi#0,"""에너미를 쓰러뜨리기"""
NpcComOnForetaste#0,"""＊＊＊その付近に要警戒エネミーがいるようです！<br>至急、討伐をお願いします。"""
NpcComOnBegin#0,"""＊＊＊"""
NpcComOnSuccess#0,"""＊＊＊エネミーの殲滅を確認しました！<br>即応、ありがとうございます。"""
NpcComOnFailure#0,"""＊＊＊エネミーが撤退しました。<br>…ひとまず、脅威は去りましたね。"""
NpcComOnForetaste#1,"""/voice11_voice_navi003_trial_0001_011 $(0)의 반응 발견!<br>정신 놓지 말고 제대로 쓰러뜨려!"""
NpcComOnBegin#1,"""/voice11_voice_navi003_trial_0001_046 촐랑촐랑 움직이니까<br>다이브 어택으로 움직임을 멈추면 좋을 거야."""
NpcComOnSuccess#1,"""/voice11_voice_navi003_trial_0001_070 좋아! 해냈구나!"""
NpcComOnFailure#1,"""/voice11_voice_navi003_trial_0001_074 음. 놓친 모양이네.<br>다음에는 쓰러뜨리자!"""
