un_012300_0005#0,"""【조사 의뢰라면 맡겨만 둬!】<br>仮テキスト"""
un_012300_0010#0,"""안녕 안녕, 반갑습니다!<br>파티예요!<br>뭐 곤란한 일이라도 있나!"""
un_012300_0020#0,"""지난번에 만난 사람 영향<br>제대로 받았네…<br>안녕하세요, 티아입니다."""
un_012300_0030#0,"""응? 어라, 근데 진짜<br>부탁할 게 있을 것 같은 얼굴인데?<br>좋아, 언니가 들어 줄게~!"""
un_012300_0040#0,"""연구실 정보 있어?"""
un_012300_0050#0,"""연구부에서 일어난 사고에 대해 묻는다"""
un_012300_0060#0,"""연구실?"""
un_012300_0070#0,"""아크스 연구부 말이야.<br>얼마 전에 사고가 있었다던데.<br>네가 직접 말했잖아?"""
un_012300_0080#0,"""음… 어라?<br>그런 얘기 했었나?<br>한 것 같기도 하고, 안 한 것 같기도 하고."""
un_012300_0090#0,"""뭐, 됐나.<br>티아가 말했다고 하면<br>한 거겠지."""
un_012300_0100#0,"""연구부 사고라면…<br>얼마 전에 일어났다는 그거?"""
un_012300_0110#0,"""얼마 전? 사고?<br>있었던 것 같기도, 없었던 것 같기도…"""
un_012300_0120#0,"""아니, 있었거든!<br>게다가 파티,<br>네가 직접 말했거든!"""
un_012300_0130#0,"""음…? 오오! 아아!<br>알겠다, 그거 말이지!"""
un_012300_0140#0,"""과연과연, 그 정보 말이구나~.<br>헤헤헤, 꽤 위험한 정보를<br>원하시네요, 손님!"""
un_012300_0150#0,"""아크스 연구부는 비밀주의야.<br>정보를 캐낼 수 있을지도 문제지만<br>위험도 큰 곳이지…"""
un_012300_0160#0,"""하지만! 나와 티아에겐<br>불가능이라는 두 글자는 없어!"""
un_012300_0170#0,"""게다가 부탁까지 받았는데<br>거절할 수도 없잖아!<br>자, 티아, 가자~!"""
un_012300_0180#0,"""앗, 자, 잠깐!<br>파티, 기다려!<br>불가능은 세 글자야!"""
un_012300_0190#0,"""아, 아무튼 할 수 있는 만큼<br>정보는 모아 볼게!<br>그럼 또!"""
