un_012220_0010#0,"""응?<br>내가 아이돌을 하는 이유?"""
un_012220_0020#0,"""하아… 저기, 너<br>답장을 알면서 물어보는 거지?"""
un_012220_0030#0,"""뻔한 걸 물어보는 사람은<br>미움받게 되니까.<br>조심하는 게 좋을거야."""
un_012220_0040#0,"""그럼 답을 맞춰줘.<br>나는 『아이돌이 되어라』라는<br>명령을 받았기 때문에 하는 거야."""
un_012220_0050#0,"""다행히도 봐줄만 했으니까.<br>아이돌이 상대라면 방심하고<br>정보가 새어나가기도 하고."""
un_012220_0060#0,"""그래서 중요한 정보를 얻으면<br>또 다른 얼굴이 등장하게 되는거지.<br>너도 조심해!"""
un_012220_0070#0,"""랄까, 일단…<br>분명히 기밀정보였지, 방금 그건."""
un_012220_0080#0,"""…음, 어째설까.<br>너랑 있으면 말이 너무 많아져."""
un_012220_0090#0,"""별로 사람들과 이야기 할 일이<br>없어서 그런걸까?<br>뭐, 잠자코 있어주면 문제없어."""
un_012220_0100#0,"""하지만 말이야.<br>처음에는 그런 식으로 아이돌도<br>명령이니까 연기했었지만…"""
un_012220_0110#0,"""내 노래 같은 걸로<br>사람들이 웃어주는 건<br>왠지 기쁜걸."""
un_012220_0120#0,"""A.P.238/4/16"""
