un_012640_0005#0,"""【즐거움 속의 위화감】<br>仮テキスト"""
un_012640_0010#0,"""어머나 어머나 어머나, 이건 또 웬일이래.<br>후후후, 우연이네요.<br>즐겁네요, 안녕하세요."""
un_012640_0020#0,"""리사는 지금 난사 중이랍니다.<br>다커가 늘어나 준 덕분에<br>하고 싶은 대로 하며 만세예요오."""
un_012640_0030#0,"""소문의 폭주룡 씨는<br>아직 못 만났지만<br>뭐, 즐거우니 됐어요."""
un_012640_0040#0,"""그건 그렇고, 아아, 그건 그렇고<br>요즘 아크스 여러분은<br>완전히 기가 빠져 있네요오."""
un_012640_0050#0,"""다크 펄스 씨의 부활에<br>아크스 상층부에 대한 불신까지 겹쳐서<br>불만이 쌓이고 있는 모양이에요오."""
un_012640_0060#0,"""리사로선<br>도무지 이해가 안 가요오."""
un_012640_0070#0,"""진실이니 사실이니<br>그런 게 뭐가 중요하죠오?"""
un_012640_0080#0,"""어차피 어차피 적이라면<br>죽이면 끝이잖아요오."""
un_012640_0090#0,"""앞으로 더더욱 쏴도 되는 것들이<br>늘어나 준다면, 리사로선<br>만만세랍니다아."""
un_012640_0100#0,"""저것도 이것도 그것도 죄다<br>쏴 보고 싶은 것뿐이니까요오.<br>후후후, 후후후후후."""
