st_012045_0005#0,"""【悲痛なシュプレヒコール】<br>仮テキスト"""
st_012045_0010#0,"""하드레드…"""
st_012045_0020#0,"""（비명소리）！"""
st_012045_0030#0,"""…고통스러운 목소리.<br>솔직히 더 이상 듣고 있을 수가 없어요."""
st_012045_0040#0,"""하지만 마지막으로 말해주세요.<br>실험실에서 도대체 무슨 일이<br>이루어지려고 했는지…"""
st_012045_0050#0,"""뒤처리꾼으로서 부적응자인 저에게<br>다음에는 어떤 임무가<br>부과될 예정이었는지…"""
st_012045_0060#0,"""…아니, 그렇지 않아요.<br>그것만으로는 당신은 화내지 않아…"""
st_012045_0070#0,"""그러니까 대답해 줘, 하드레드!"""
st_012045_0080#0,"""나는…<br>나는 무슨 짓을 당할 뻔한 거야!?"""
st_012045_0090#0,"""……！"""
st_012045_0100#0,"""（포효）"""
st_012045_0110#0,"""정말이지, 너는 얼만큼이나<br>비밀주의에 이기적이고… 바보같은 아이."""
st_012045_0120#0,"""A.P.238/4/15/11:20"""
