un_012090_0001#0,"""？？？"""
un_012090_0010#0,"""…어떤가요?<br>하드레드의 발자취는…"""
un_012090_0020#0,"""…라고 해봤자 잡지 못하고 있지요."""
un_012090_0030#0,"""얼굴을 보면 알 수 있습니다.<br>신경 쓰지 마세요.<br>저도 비슷하니깐요."""
un_012090_0040#0,"""…하지만, 포기하지 않겠습니다.<br>그 ㅂ신자를 이 손으로<br>처리할 때까지 절대로…!"""
un_012090_0050#0,"""우리를<br>저를 배신하고 떠난<br>저 녀석은… 절대로 용서하지 않아!"""
un_012090_0060#0,"""하드레드가 왜 배신했을까?<br>이유가 있었겠지?"""
un_012090_0070#0,"""…큭! 모릅니다!<br>모르겠습니다!<br>전 그 자리에 없었으니까!"""
un_012090_0080#0,"""배신자는 배신자입니다!<br>하드레드는 배신했다고<br>그렇게… 전해 들었으니까"""
un_012090_0090#0,"""결국 저는 저 녀석에 대해<br>아무것도 몰랐어요!<br>그것뿐이예요…!"""
un_012090_0100#0,"""A.P.238/4/8"""
