st_012110_0010#0,"""무언가 말하고 있어"""
st_012110_0020#0,"""너를 부르고 있어"""
st_012110_0030#0,"""어…?"""
st_012110_0040#0,"""…뭐?<br>무슨 말을 하고싶은거야, 하드레드?"""
st_012110_0050#0,"""…다시 한 번, 그 노래를."""
st_012110_0060#0,"""겨우 외운 말이… 그거였어?"""
st_012110_0070#0,"""…바보, 바보야 넌."""
st_012110_0080#0,"""정말…정말로… 흑!"""
st_012110_0090#0,"""아아, 괜찮아!<br>한 곡이 아니라 얼마든 불러줄게!"""
st_012110_0100#0,"""관객은 <%me><br>그리고 하드레드, 두 사람뿐이야!<br>하지만, 하지만 그러니까 더욱…!"""
st_012110_0110#0,"""좋아, 하드레드!<br>제대로 듣도록 해!<br>자면 안 돼!"""
st_012110_0120#0,"""이 노래는, 이 노래만큼은<br>너를 위해…!"""
st_012110_0130#0,"""A.P.238/4/23/14:30"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""제 10장 허공에 울려 퍼지는 앙코르"""
