un_012310_0005#0,"""【의뢰 정보 나왔어요!】<br>仮テキスト"""
un_012310_0010#0,"""자자, 오래 기다렸지!<br>파티짱이 왔습니다~!"""
un_012310_0020#0,"""안녕하세요, 티아입니다."""
un_012310_0030#0,"""뒤처리꾼도 두려워하지 않는 정보상에게서<br>최신 정보를 전해 드릴게요~!"""
un_012310_0040#0,"""연구부에서 하던 건<br>후천적인 포톤 행사력 부여 연구랑<br>다커 연구였던 모양이야!"""
un_012310_0050#0,"""포톤 쪽은 그렇다 쳐도<br>다커 연구 쪽은<br>아무래도 수상쩍지?"""
un_012310_0060#0,"""그리고 사고 원인은 연구 도중 일어난<br>트러블이래~!<br>연구 중이었다는 게 핵심이지!"""
un_012310_0070#0,"""하지만 그 이상 정보는 없어~!<br>정작 그 트러블 내용이 알고 싶은데~!"""
un_012310_0080#0,"""좀 더 정보 수집에 애먹을 줄<br>알았는데<br>두드리자마자 금방 나오더라."""
un_012310_0090#0,"""뭔가 맥이 빠진다고 할까,<br>일부러 흘리고 있는 것 같기도 해."""
un_012310_0100#0,"""음, 어떨까.<br>그렇게까지 깊게 생각 안 해도<br>되지 않을까~?"""
un_012310_0110#0,"""죄다 비밀로 해 버리면<br>트러블 뒤처리도 못 하게<br>될 테니까."""
un_012310_0120#0,"""트러블 뒤처리는 하고 싶다!<br>하지만 상세는 말하기 싫다!<br>거짓말하면 더 귀찮아진다!"""
un_012310_0130#0,"""그래서 그런 타협 끝에<br>정해진 정보량이 지금 정도.<br>아마 그쯤 아닐까~?"""
un_012310_0140#0,"""…왜 그래, 파티짱.<br>뭔가 번뜩임이 안 좋네?"""
un_012310_0150#0,"""헤헤헤… 우리를 믿고<br>맡겨 준 정보니까.<br>더 열심히 하고 싶어지잖아!"""
un_012310_0160#0,"""…아무튼, 우리한테<br>조사할 수 있던 건 여기까지야."""
un_012310_0170#0,"""결론을 내리는 건 너야!"""
