un_012100_0001#0,"""？？？"""
un_012100_0010#0,"""♪（노래하고 있지만, 노래 자체가 어떻게 될까）<br>（아카펠라 같은 느낌으로 할 수 있을까?）"""
un_012100_0020#0,"""…응? 아…!"""
un_012100_0030#0,"""아, 아뇨 저기 이건…!<br>뭐랄까, 뭐랄까!<br>그, 그, 아니예요!"""
un_012100_0040#0,"""응…?"""
un_012100_0050#0,"""위험해!"""
un_012100_0060#0,"""도망쳐!"""
un_012100_0070#0,"""…꺄악!"""
un_012100_0080#0,"""하, 하드레드…!?<br>배, 배신자가 뭘 하고 있는 거야!"""
un_012100_0090#0,"""이제와서 다커에게서<br>나를 구해주다니…!"""
un_012100_0100#0,"""은혜라도 입힐 생각인가요!<br>용서를 구할 생각인가요!?"""
un_012100_0110#0,"""하지만, 이미 늦었어, 다 늦었어요!"""
un_012100_0120#0,"""어째서 배신한거죠!<br>어째서… 어째서 당신이…!"""
un_012100_0130#0,"""기, 기다리세요!<br>하드레드, 하드레드!"""
un_012100_0140#0,"""도망치지마! 나와 싸워!"""
un_012100_0150#0,"""A.P.238/4/10"""
