un_012560_0005#0,"""【너에게 아크스란…】<br>仮テキスト"""
un_012560_0010#0,"""아, <%me>.<br>너, 만날 때마다 열심히<br>뭔가를 조사하고 있더라."""
un_012560_0020#0,"""아크스로서는 모범적인 모습이라고<br>생각하긴 하는데…"""
un_012560_0030#0,"""아, 귀찮고<br>마침 잘됐으니까, 물어볼게."""
un_012560_0040#0,"""아크스가 나베리우스 유적에 대해<br>숨기고 있던 일, 그거에 대해<br>무슨 생각은 없어?"""
un_012560_0050#0,"""상층부는 못 믿겠다든가<br>그런 기분은 안 드냐는 말이야."""
un_012560_0060#0,"""…뭐, 이런 건<br>입 밖으로 꺼낼 얘긴 아니지.<br>미안, 공연한 질문이었어."""
un_012560_0070#0,"""필요한 건 스스로 알고<br>스스로 판단해 가는 거라고<br>마리아도 말했으니까. 나도 동감이고."""
un_012560_0080#0,"""무엇보다 자기 손으로 애써서<br>알아낸 일은<br>잘 잊히지도 않으니까."""
un_012560_0090#0,"""그러니까 스스로 알려고 움직이고<br>스스로 판단해 가면 돼."""
un_012560_0100#0,"""나베리우스의 비밀에 다다른<br>너라면, 분명 언젠가는…"""
un_012560_0110#0,"""아니, 이것도 쓸데없는 소리겠네."""
un_012560_0120#0,"""그럼 난 가 볼게."""
