un_012520_0005#0,"""【즐기고 가요!】<br>仮テキスト"""
un_012520_0010#0,"""…이어서, 오늘의 토픽입니다."""
un_012520_0020#0,"""아크스의 이미지 아티스트를 맡고 있는<br>가수 쿠나 씨."""
un_012520_0030#0,"""각 아크스 쉽을 도는<br>라이브 투어가 대성황 속에<br>막바지에 접어들고 있습니다."""
un_012520_0040#0,"""밝고, 격렬하고, 선명하게!<br>즐기고 가!"""
un_012520_0050#0,"""아참, 먼저 말해 둘게!"""
un_012520_0060#0,"""미안해!<br>오늘은 앙코르는 없어!"""
un_012520_0070#0,"""그래도 만족할 수 있을 만큼<br>필사적으로, 전력을 다해 부를 테니까!"""
un_012520_0080#0,"""제대로 따라오지 않으면<br>두고 가 버릴 거야!"""
un_012520_0090#0,"""아아… 결국 한 번도<br>티켓을 못 구했어…"""
un_012520_0100#0,"""각 쉽마다 한 번뿐이니까<br>다음 기회를 노릴 수밖에!"""
un_012520_0110#0,"""근데 쿠나짱이<br>앙코르 없다는 것도<br>드문 일이네…"""
