st_012090_0010#0,"""안녕.<br><%me>.<br>기다리고 있었어."""
st_012090_0020#0,"""뭐, 볼일이 있는 건 내가 아니야.<br>난 그냥 메신저일 뿐이야."""
st_012090_0030#0,"""『먼저 가서 준비할게』<br>쿠나라는 소녀가<br>네게 보내는 전갈이야."""
st_012090_0040#0,"""렐라도 뭔가 감지한 모양인데<br>여러 가지로 움직이고 있는 모양이고<br>나만 소외받는 느낌이야."""
st_012090_0050#0,"""하지만, 나는 이 뒤에 일어날 일도<br>그 원인에 대해서도 별 관심이 없어."""
st_012090_0060#0,"""하지만, 앞으로 일어날 일은<br>아마 너나 쿠나라는 아이에게 있어<br>매우 힘든 일일 거야."""
st_012090_0070#0,"""…아니, 넌 사람이 좋으니까<br>분명 그 아이에게 커다란<br>문제가 생긴 거겠지."""
st_012090_0080#0,"""그렇게까지 놀랄 필요 없어.<br>그 정도는 생각해볼 것도 없이<br>네 표정을 보면 알 수 있어."""
st_012090_0090#0,"""하지만, 이겨내지 못한다면<br>안된다고 생각하기 때문에<br>그 아이는 안으로 향했어."""
st_012090_0100#0,"""그리고 그 아이를 응원하기 위해<br>너도 안쪽으로 향한다."""
st_012090_0110#0,"""봐, 역시 내가 나설 필요는 없어.<br>알아야 할 필요도, 이유도 없어.<br>오히려 실례가 되겠지."""
st_012090_0120#0,"""…실레했군, 이야기가 길어졌네.<br>어자를 기다리게 하는 게 더<br>실례야."""
st_012090_0130#0,"""넌 서둘러 안쪽으로 가.<br>나는… 나는, 그래…"""
st_012090_0140#0,"""조금이라도 알아버린 사람으로서의<br>책임으로 너와 그 아이가<br>무사하길 기도하는걸로 할까."""
st_012090_0150#0,"""A.P.238/4/23/13:30"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""제 10장 허공에 울려 퍼지는 앙코르"""
