st_012020_0005#0,"""【不可解な行動】<br>仮テキスト"""
st_012020_0010#0,"""어라, 당신은."""
st_012020_0020#0,"""…육망균형 카스라.<br>어째서 이곳에."""
st_012020_0030#0,"""인삿말이죠, 쿠나 씨.<br>저도 당신과 마찬가지로 임무 수행 중.<br>그저 그뿐입니다."""
st_012020_0040#0,"""하지만 당신이 누군가와 팀울 이루어<br>움직이는 일이 있다니<br>드문 일이군요."""
st_012020_0050#0,"""게다가 그 상대가<br><%me> 씨.<br>뭔가 운명적인 느낌마저 듭니다."""
st_012020_0060#0,"""아는 사이?"""
st_012020_0070#0,"""왜 여기에?"""
st_012020_0080#0,"""아아, 경계할 필요는 없습니다.<br>저는 업무상 그녀와 알고지낼<br>뿐입니다."""
st_012020_0090#0,"""아뇨, 그렇게 경계하지 않으셔도<br>괜찮습니다. 이건 그냥<br>아크스로서의 책무입니다."""
st_012020_0100#0,"""그보다 여러분도<br>그 폭주하는 용을 처치하기 위해<br>이곳에 오신 것이죠?"""
st_012020_0110#0,"""시가지 중심부, 스피어 아레나의<br>내부에서 그와 같은 파라미터가<br>확인되었다고 합니다."""
st_012020_0120#0,"""큭!<br>어째서 그런 곳에서!"""
st_012020_0130#0,"""네, 희한하네요."""
st_012020_0140#0,"""거기는 지금 그 아이돌의<br>프로모션용 장소로<br>사용되고 있을 뿐이고요."""
st_012020_0150#0,"""다커들이 모여 있는 곳이 아니라<br>그런 곳에서 갑자기 출현.<br>솔지히 의도를 읽을 수 없네요."""
st_012020_0160#0,"""<%me> 씨.<br>혹시…"""
st_012020_0170#0,"""…목적은 노래?"""
st_012020_0180#0,"""…서두르자"""
st_012020_0190#0,"""…그럴지도 모르겠네요.<br>이전에 출현했을 때의 행동을<br>감안한다면…"""
st_012020_0200#0,"""스피어 아레나에<br>노래를 틀어놓으면…<br>잠시 발을 묶어둘 수 있을지도."""
st_012020_0210#0,"""…노래, 인가요."""
st_012020_0220#0,"""흠… 정말 시적인 이야기지만<br><%me> 씨의<br>제안이기도 하니…"""
st_012020_0230#0,"""…알겠습니다.<br>그쪽 일은 제가 알아서 하겠습니다."""
st_012020_0240#0,"""여러분은 서둘러 현장으로.<br>자, 어서."""
st_012020_0250#0,"""…은혜에 보답하겠습니다.<br>육망균형 카스라."""
st_012020_0260#0,"""아뇨, 당신에게는<br>은혜를 입혀두는 편이<br>뭔가 편하니깐 말이죠."""
st_012020_0270#0,"""…서두르죠.<br>이번만큼은 놓쳐서는<br>안되니까요."""
st_012020_0280#0,"""그럼, 미력하지만 저도<br>협조해 드리겠습니다."""
st_012020_0290#0,"""…저를 감시하실 생각인가요."""
st_012020_0300#0,"""어라, 이상한 말씀을 하시네요.<br>감시당하는 것 처럼<br>이야기 하시네요?"""
st_012020_0310#0,"""…멋대로 하시죠."""
st_012020_0320#0,"""A.P.238/4/15/10:30"""
skit01#0,"""The Uncontrollable Beast"""
skit02#0,"""제 9장 어긋난 커튼콜"""
skit03#0,"""The First Divide"""
skit04#0,"""제 9장 우상의 슈프레히콜"""
