un_012340_0005#0,"""【부자연스러운 생명】<br>임시 텍스트"""
un_012340_0010#0,"""<%me> 군.<br>그 폭주룡을 찾고 있나?"""
un_012340_0020#0,"""소문은 이것저것 들었어.<br>공간을 찢고 나타난다니<br>꽤 호쾌한 이야기더군."""
un_012340_0030#0,"""〔우리〕〔동포 가운데〕<br>〔그런 힘을〕〔지닌 자는 없다〕<br>〔정말〕〔우리의〕〔동포인가?〕"""
un_012340_0040#0,"""나도 처음에 그 점을 지적했지.<br>레라의 의견이라면 확실하겠군."""
un_012340_0050#0,"""그 폭주룡은 용족이 아니야.<br>적어도 이 행성의<br>주민은 아닐 거다."""
un_012340_0060#0,"""〔하지만〕〔어째서일까〕<br>〔그리운〕〔그런〕〔기분도 든다〕"""
un_012340_0070#0,"""〔그걸 느끼기에〕<br>〔그 용도〕〔이 땅에〕<br>〔모습을 드러내는 것 아닐까〕"""
un_012340_0080#0,"""흠… 그립다, 인가.<br>몸이 기억하는 걸까?<br>아니면 무언가를 느끼고 있는 건가?"""
un_012340_0090#0,"""…어쨌든<br>그리 자연스러운 존재는<br>아닌 듯해서 안타깝군."""
un_012340_0100#0,"""능력은 매력적으로 보이지만…<br>난 자연에서 태어난<br>생명 말고는 관심이 없어."""
