un_012160_0010#0,"""아, 안녕하세요."""
un_012160_0020#0,"""어… 또 하드레드에 관한 건가요?<br><%me> 씨<br>그 녀석에 대해 신경을 많이 쓰시네요."""
un_012160_0030#0,"""저 녀석은 배신자입니다.<br>그 이상도 그 이하도<br>아닙니다."""
un_012160_0040#0,"""…그러니<br>더 이상 드릴 말씀이 없습니다."""
un_012160_0050#0,"""그 녀석에게도 과거는 없고<br>그저 명령에 따랐을 뿐.<br>그래요, 마치 저처럼."""
un_012160_0060#0,"""굳이 말씀 드린다면 이것 뿐입니다.<br>아무런 도움이 되지 않습니다."""
un_012160_0070#0,"""반대로 생각해 보자"""
un_012160_0080#0,"""배신한 이유를 생각해 보자"""
un_012160_0090#0,"""반대로, 말인가요?<br>저였다면 어떠한 경우에<br>배신했을 것인가, 말인가요?"""
un_012160_0100#0,"""배신한 이유를 생각해 봐라, 입니까?<br>자신에게 대입해서<br>배신할 만한 상황은…"""
un_012160_0110#0,"""그렇네요…<br>도저히 따를 수 없는 명령이 떨어졌다?<br>배신하지 않으면 달성할 수 없는 명령?"""
un_012160_0120#0,"""그거 말고 나머지는…"""
un_012160_0130#0,"""배신이라는 명령이 내려진 경우."""
un_012160_0140#0,"""…기다려 주세요.<br>제게 처단 명령을 내린 자들은<br>하드레드가 배신했다고 했어요."""
un_012160_0150#0,"""그 절박하면 생각하면<br>그들 중에서 배신했다는<br>인식이 틀림 없겠죠."""
un_012160_0160#0,"""그렇다면… 누구의 명령?<br>관리자인 연구실을 뛰어넘어<br>막강한 권력을 행사할 수 있는 상대는…"""
un_012160_0170#0,"""…추론만으로는 더 이상의<br>답은 보이지 않네요."""
un_012160_0180#0,"""하지만 그 때 다커와 함께<br>나를 먹지 않은 이유를<br>찾을 수 없어요."""
un_012160_0190#0,"""그저 배신만 했더라면<br>추격자인 나를<br>놓치는 일은 없었을 것…"""
un_012160_0200#0,"""하드레드……<br>무슨 생각을 하고 있는 거야.<br>아니, 무슨 일이 있었어…?"""
un_012160_0210#0,"""A.P.238/4/14"""
