un_012500_0010#0,"""<%me> 님…<br>저한테 무슨 용무신가요?"""
un_012500_0020#0,"""뭘 하고 있었냐고요?<br>보다시피 전투입니다.<br>그게 뭐가 문제라도 있나요?"""
un_012500_0030#0,"""무리하지 마"""
un_012500_0040#0,"""몸은 괜찮아?"""
un_012500_0050#0,"""무리 같은 건 안 했어요.<br>…상처도 빨리 나았고<br>오히려 여유가 넘칠 정도예요."""
un_012500_0060#0,"""이상한 일이지만<br>그다지 컨디션이 나쁘지 않아요.<br>오히려 전보다 더 좋을 정도로."""
un_012500_0070#0,"""그리고 몸이 힘들다 해도<br>이제 전 혼자니까…<br>강해져야만 해요."""
un_012500_0080#0,"""그래, 애초에 그렇게 했더라면<br>누구도 뭔가를 잃지 않았을 테고<br>괴로운 일도 없었을 텐데…"""
un_012500_0090#0,"""늘 깨닫는 건, 잃고 나서예요.<br>이걸 인과응보라고 하는 걸까요."""
un_012500_0100#0,"""…당신도 제게 너무<br>가까이 오지 않는 편이<br>좋을 거예요."""
un_012500_0110#0,"""아뇨, 당신을 위해서라도<br>분명히 말씀드리죠."""
un_012500_0120#0,"""저에게 가까이 오지 마세요."""
un_012500_0130#0,"""죽습니다."""
