11_voice_NPC_5457_101#0,"""<%me>……!<br>또 만나서 기뻐!"""
11_voice_NPC_5457_105#0,"""전에도 신세를 진 적이 있는……<br>그게 뭐였더라?<br>환창……체?\u3000인 마토이야."""
skit01_03#0,"""그리고 있지, 놀랍게도<br>내가 정말 좋아하는 할로윈을 함께 즐길<br>아주 귀여운 친구가 생겼어!"""
11_voice_NPC_5457_100#0,"""힌트는 옆에 있는 시에라야!<br>하지만 그 아이에겐 비밀이 있어……<br>자세한 건 직접 물어봐 줄래?"""
11_voice_NPC_5457_100#1,"""후훗, 마지컬★시에라는<br>정말 온 힘을 다해 할로윈을<br>즐기고 있는 것 같네."""
skit02_02#0,"""나도 지지 않도록<br>더욱더 열심히 해야겠어.<br>할로윈 선배니까!"""
11_voice_NPC_5457_103#0,"""가, 가오!<br>과자를 안 주면 장난칠 거얏<br>……혀 깨물었어."""
skit03_01#0,"""아, <%me>.<br>어떻게 돼 가고 있어?<br>어울려 줘서 고마워!"""
11_voice_NPC_5457_100#2,"""……정말 좋아하는 할로윈을<br>정말 좋아하는 너와 또 보낼 수 있다니<br>정말 꿈만 같아!"""
11_voice_NPC_5457_100#3,"""후훗……<br>마지컬★시에라와 둘이서<br>과자 이야기를 하고 있었어!"""
skit04_02#0,"""시에라가 목표로 하는 게<br>잘 상상되지는 않았지만……<br>정말 진심인 것 같아."""
11_voice_NPC_5457_101#1,"""어, 나……?<br>네가 주는 거라면 뭐든……<br>주, 주지 않으면 장난칠 거야!"""
11_voice_NPC_5457_100#4,"""지금까지 우리와<br>어울려 줘서 고마워!"""
skit05_02#0,"""언젠가 할로윈이 끝나서<br>우리가 사라진다고 해도<br>멋진 추억은 남을지도 모른다고……"""
skit05_03#0,"""그렇게 생각할 만큼 즐거웠어!<br>다시 만날 수 있으면 좋겠다……!"""
