Title#0,"""The Bridge"""
text01#0,"""The \""Bridge\"" is the central location for the story of \""EPISODE 4\"".<br><br>You can begin Story Quests from this location by speaking to Xiera.<br><br>You can move to the bridge quickly and easily by using the \""Quick Menu\""."""
text02#0,"""The Quick Menu is a menu that gives you convenient access to a number of functions, simply by pressing <%SelectMenu>.<br><br>Use the Quick Menu to easily access functions such as viewing information on nearby characters and moving to specific areas without having to use a Teleporter."""
skit01_010#0,"""You probably want to know where you are right now. Let me explain what this place is."""
skit01_020#0,"""You can start Story Quests from up here, so stop by whenever you like."""
11_voice_NPC_5239_104#0,"""え、地球の方がここに来たがっている？<br>うーん、うううーん……"""
itsuki_020#0,"""……招かれた方、ですか。<br>なら信用できると思うんですが<br>……シャオが怒りそうですねぇ。"""
itsuki_030#0,"""ここって、これでもかーってぐらいに<br>最重要機密がつまった場所なんで<br>無用なリスクは避けたいんですよ。"""
itsuki_040#0,"""保護名目なら話は別なんですが<br>ちょっと手続きが必要になります。"""
itsuki_050#0,"""ということで、すみませんが<br>今回はお断りってことになります。<br>……申し訳ないです。"""
itsuki_060#0,"""いずれ気軽に出入りできるように<br>目の前の問題解決を頑張りましょう。"""
11_voice_NPC_5239_100#0,"""Have you said hello to everyone on the ARKS Ship yet?"""
st01_020#0,"""I know they all want to see you!"""
st01_030#0,"""Getting out and about will help with your rehabilitation too, so why don't you take some time to catch up?"""
11_voice_NPC_5239_104#1,"""私たちの地球への干渉に対して<br>シャオは何も言ってこないんですよね。"""
st01_020#1,"""普段なら、まずいことをするとすぐに<br>修正指導が来ますし、何かしら連絡が<br>あると思ったんですが、それもなし。"""
st01_030#1,"""もしかすると、この地球の出来事に<br>【深遠なる闇】の抜本的解決、あるいは<br>その糸口があると考えているのかも……"""
st01_040#0,"""……まあ、私にはさっぱり<br>想像つきませんけどね。"""
11_voice_NPC_5239_102#0,"""情報部が情報部なりに考えていたのは<br>私にだってわかってますよ。"""
st01_020#2,"""でもでも、もっとやりようはあったと<br>思うんですよね、絶対に。"""
st01_030#2,"""情報の整理だって自分たちで出来るのに<br>こっちにまるっと投げてきて……もう！"""
11_voice_NPC_5239_102#1,"""情報部からの情報の整理は<br>そりゃ大変でしたよ。"""
st01_020#3,"""何も一気にドバーっと未整理の状態で<br>渡さなくてもいいと思うんですよね！"""
st01_030#3,"""まあ、でも管理しやすいように<br>情報の整理が出来たと思って<br>良しとします！"""
11_voice_NPC_5239_102#2,"""ヒツギさんの様子が心配ですね。<br>無理をしちゃってる感じがします。"""
st01_020#4,"""んー……どうしたらいいんでしょう。<br>気にかけてたところで<br>大丈夫と返されてしまうでしょうし。"""
st01_030#4,"""なんかできれば良いのですが<br>うーん……思いつきません。"""
st01_040#1,"""心配することしかできないのも<br>心苦しいものですね。"""
st01_010#0,"""アルくんのことについては、もろもろの<br>対応と平行して調査中ですよ。<br>アルくんも協力してくれますしね。"""
st01_020#5,"""ただ、今のところ普通のアークスや<br>ヒツギさんたちとの差異があまりなく<br>いまいち、答えが見えてきません。"""
st01_030#5,"""シャオにも見解を要求していますが<br>今のところは私たちと同じ結論です。<br>普通の人間である、と。"""
st01_040#2,"""最初、アルくんに接触しようとしたとき<br>強制的に切断してきたマザー……<br>何か秘密があると思うんですけどね。"""
11_voice_NPC_5239_102#3,"""ヒツギさんの生命反応は<br>復活していたのですが<br>それでも意識は失ったままでした。"""
st01_020#6,"""具現武装とは、心象の具現です。<br>それを折られたというのは<br>そのまま、心を折られたということ。"""
st01_030#6,"""……何にせよ、助け出さなければ<br>わからないことですが、心配です。<br>ヒツギさんの身体も、心も。"""
st01_040#3,"""……あ、ちなみにアルくんは無事です。<br>現在、メディカルチェックを<br>受けてもらっている最中ですよ。"""
st01_010#1,"""うー……頭がガンガンします……<br>ああするしかなかったとはいえ<br>管理管制一人持ちはもう勘弁です。"""
st01_020#7,"""体調万全なら、今感知している<br>変な反応もここで分析できるんですが<br>……すみません、お手数かけます。"""
11_voice_NPC_5239_104#2,"""うー……頭がガンガンします……<br>ああするしかなかったとはいえ<br>管理管制一人持ちはもう勘弁です。"""
st01_010#2,"""幻創種ダーカー……エスカダーカーと<br>呼称している敵性存在ですが<br>まだ、ダーカーとは異なるようです。"""
