name01#0,"""シエラ"""
11_voice_train_04001#0,"""¡Hola!<br>Aqui entenderemos sobre<br>lo fundamental"""
text01#0,"""La clase Phantom brilla durante la carga de tecnicas.<br>Asi que baila como una mariposa y apuñala como una abeja<br>Es un concepto de la nueva clase."""
text02#0,"""Una de las caracteristicas principales de la Phanton class<br>[Carga sigilosa de tecnicas]<br>Te lo explicaré."""
text03#0,"""¡El Phantom se puede<br>mover libremente durante la carga<br>de tecnicas!"""
text04#0,"""Muy bien entonces,<br>manten la tecnica cargada y,<br>¡A moverse!."""
text101#0,"""課題１：<yellow>数秒間ステルステックチャージ状態になる"""
train_title#0,"""課題１：<yellow>数秒間ステルステックチャージ状態になる"""
tut_title#0,"""ステルステックチャージについて"""
text100#0,"""・<%SubPalette1>を押し続けテクニックをチャージ"""
text101#1,"""・<%SubPalette>を押し続けテクニックをチャージ"""
text102#0,"""サブパレットのアイコンを<br>タッチし続けチャージ"""
tut_win_title#0,"""『ステルステックチャージ』について"""
tut_win_text100#0,"""<br>ステルステックチャージについて説明します。<br>・テクニックチャージ開始時に一時的に<br>  無敵になります。<br>・テクニックチャージ中は、使用者の姿が<br>  透明になり、移動速度が上昇します。"""
