name_7245#0,"""เซียมมี่"""
ssn_019210_002_0010#0,"""ส-สวัสดี...! ขอบคุณที่มาหานะ ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019210_002_0020#0,"""ฉันชื่อเซียมมี่ ทำงานอยู่ฝ่ายพัฒนาเทคโนโลยี รับผิดชอบด้านการพัฒนาอุปกรณ์..."""
ssn_019210_002_0030#0,"""และก็นะ เรื่องที่อยากจะปรึกษาก็คือ..."""
ssn_019210_002_0011#0,"""ส-สวัสดี...! ขอบคุณที่มาหานะ"""
ssn_019210_002_0021#0,"""งั้นก็... เข้าเรื่องที่อยากจะปรึกษาเลยแล้วกัน..."""
ssn_019210_002_0040#0,"""ช่วงนี้... มีศัตรูที่แข็งแกร่งเพิ่มมากขึ้นกว่าแต่ก่อนเลย"""
ssn_019210_002_0050#0,"""เช่นเดียวกัน เราก็มีความจำเป็นเร่งด่วนที่จะต้องพัฒนาอาวุธและชุดเกราะที่แข็งแกร่งขึ้นเพื่อรับมือกับพวกมัน..."""
ssn_019210_002_0060#0,"""สิ่งที่อยากจะขอร้องก็คือ ให้ช่วยรวบรวมข้อมูลที่จำเป็นต่อการพัฒนา... เอิ่ม ได้โปรดเถอะนะ"""
ssn_019210_002_0070#0,"""โดยเฉพาะอย่างยิ่ง ข้อมูลการต่อสู้ตอนที่สู้กับศัตรูที่มีสัญลักษณ์... ข-ขอร้องล่ะ"""
ssn_019210_002_0080#0,"""เอิ่ม... เพราะงั้น... ข-ขอบคุณ... ล่วงหน้านะ"""
ssn_019210_002_0120#0,"""ย-ยินดีต้อนรับ! ...กลับมา..."""
ssn_019210_002_0130#0,"""ต้องขอบคุณเลยนะ เอิ่ม... น่าจะได้ข้อมูลที่ต้องการมาแล้วล่ะ"""
ssn_019210_002_0140#0,"""ด้วยสิ่งนี้ ก็น่าจะสามารถสร้าง... อาวุธกับชุดเกราะใหม่ๆ ได้แล้ว"""
ssn_019210_002_0150#0,"""จะพยายามสร้างสิ่งที่ เอิ่ม ถูกใจก็แล้วกัน... เพราะงั้น..."""
ssn_019210_002_0160#0,"""หวังว่าจะตั้งตารอ... นะ..."""
ssn_019210_002_0170#0,"""ถ้ามีเรื่องอื่นเข้ามาอีก... ขอพึ่งพาอีกได้ไหม? ถ้าไม่รังเกียจล่ะก็..."""
ssn_019210_002_0180#0,"""หมายถึงว่า ถ้าไม่ได้... ยุ่งอยู่ หรืออะไรทำนองนั้นน่ะ..."""
ssn_019210_002_0300#0,"""เกี่ยวกับเรื่องพัฒนาอาวุธและชุดเกราะให้แข็งแกร่งยิ่งขึ้น... เพื่อรับมือกับศัตรูที่แข็งแกร่งยิ่งกว่า และอื่นๆ..."""
ssn_019210_002_0310#0,"""...ก็จำเป็นต้องใช้ เอิ่ม... ข้อมูลมากมายสำหรับเรื่องนั้นน่ะ"""
ssn_019210_002_0400#0,"""...ในอาวุธและชุดเกราะทุกชิ้น จะเห็นส่วนหนึ่งของบุคลิกผู้ออกแบบสะท้อนออกมาด้วย..."""
ssn_019210_002_0410#0,"""ฉันคงจะดีใจมากๆ ถ้า... ชอบในส่วนของฉันนะ..."""
npc_menu_0010#0,"""แลกเปลี่ยน Seasonal Points (ถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยน New Years '24 Seasonal Points (ถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนแร่ (ถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (ถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับ Seasonal Events"""
npc_menu_1020#0,"""เกี่ยวกับ Seasonal Enemies"""
npc_menu_1040#0,"""เกี่ยวกับ Seasonal Region Mags"""
npc_menu_1050#0,"""เกี่ยวกับ Randomite"""
npc_menu_2000#0,"""ช่างเถอะ"""
