ssc_509020_0010#0,"""อ้า ยินดีต้อนรับ!"""
ssc_509020_0020#0,"""วันนี้มีธุระอะไรหรือเปล่าล่ะ?"""
ssc_509020_0030#0,"""ช่วงนี้เป็นยังไงบ้างล่ะ?"""
ssc_509020_0040#0,"""พวกพี่ชายสบายดีกันไหม?"""
ssc_509020_0050#0,"""ก็สบายดี ต้องขอบคุณเลยล่ะ"""
ssc_509020_0060#0,"""อื้อ สบายดีเกินไปเลยล่ะ"""
ssc_509020_0070#0,"""อิลม่า (Ilma) ก็ยังคงทุ่มเทให้กับ<br>งานวิจัยของเขาเหมือนเคยเลยล่ะ"""
ssc_509020_0080#0,"""คิดว่าไทวาส (Taivas) กับทุลลิ (Tulli) กำลังแข่งกัน<br>อยู่ล่ะนะว่าใครจะจัดการศัตรูได้มากกว่ากันน่ะ"""
ssc_509020_0090#0,"""แล้วช่วงนี้คุคกะ (Kukka) ก็ช่วยงานฉันได้เยอะเลยล่ะ"""
ssc_509020_0100#0,"""ในแง่นั้น พวกเขาก็ยังคง<br>เหมือนเดิมไม่เปลี่ยนไปเลยล่ะ"""
ssc_509020_0110#0,"""แต่ก็เปลี่ยนไปในแง่อื่นอยู่เหมือนกันนะ..."""
ssc_509020_0120#0,"""คุคกะ (Kukka) ออกไปข้างนอก<br>กับคนอื่นๆ บ่อยขึ้นน่ะ"""
ssc_509020_0130#0,"""บางครั้งเขาก็ออกไปจัดการพวก<br>ศัตรูกับไทวาส (Taivas) แล้วก็ทุลลิ (Tulli)..."""
ssc_509020_0140#0,"""ส่วนบางครั้งเขาก็ไปช่วยอิลม่า (Ilma)<br>ทำงานวิจัยภาคสนามน่ะ"""
ssc_509020_0150#0,"""ส่วนไทวาส (Taivas) กับทุลลิ (Tulli) น่ะ ความจริงแล้ว<br>พวกเขาตัวติดกันบ่อยขึ้นเวลาอยู่ข้างนอกด้วยนะ"""
ssc_509020_0160#0,"""แต่ก่อนหน้านี้พวกเขาจะแยกกันไป<br>คนนึงไปทางตะวันออก อีกคนนึงก็ไปทางตะวันตกน่ะ"""
ssc_509020_0170#0,"""แล้วก็รู้สึกเหมือนกับว่าพวกเขาจะ<br>คอยมาช่วยงานฉันบ่อยขึ้นด้วยล่ะ"""
ssc_509020_0180#0,"""พวกเขามาช่วยล่าพวก Tames<br>หรือช่วยเก็บผลไม้แล้วก็ผักด้วยล่ะ"""
ssc_509020_0190#0,"""ก็อยากจะพูดนะว่ามีหลายๆ อย่าง<br>ที่ตัวฉันเองก็ช่วยได้เหมือนกัน แต่ว่า..."""
ssc_509020_0200#0,"""เวลาที่อิลม่า (Ilma) เริ่มตรวจสอบอะไรอย่างจริงจังล่ะก็<br>ทุกอย่างที่เขาพูดออกมามันฟังไม่รู้เรื่องเลยน่ะสิ"""
ssc_509020_0210#0,"""...พูดถึงเรื่องการคุยกัน ช่วงนี้ก็มี<br>โอกาสได้คุยกับไอน่าและมาน่อนเยอะขึ้นด้วยล่ะ"""
ssc_509020_0220#0,"""ไอน่าเล่าเรื่องการเดินทางของเธอที่ผ่านมาให้ฟัง<br>แล้วก็เล่าว่าที่เมืองเอลิโอ (Aelio Town) เป็นยังไงบ้างน่ะ"""
ssc_509020_0230#0,"""เธอผ่านความยากลำบากมาเยอะมากเลยล่ะ"""
ssc_509020_0240#0,"""แต่เธอก็ไม่ได้มีท่าทีรู้สึกลำบากใจ<br>เวลาที่ต้องพูดเรื่องนี้ให้ฟังเลยนะ"""
ssc_509020_0250#0,"""เพราะพวกเราทั้งคู่<br>ต่างก็ผ่านช่วงเวลาที่ยากลำบากมาเหมือนกันนี่นะ"""
ssc_509020_0260#0,"""นั่นทำให้รู้สึกดีใจมากเลยล่ะ"""
ssc_509020_0270#0,"""แล้วก็มีมาน่อนด้วยล่ะ"""
ssc_509020_0280#0,"""เธอสอนเรื่องที่ฉันไม่มีทาง<br>รู้เลยให้ฟัง เพราะฉันใช้ชีวิตอยู่ที่นี่มาตลอดเลยนี่นะ"""
ssc_509020_0290#0,"""ทั้งเรื่องสิ่งมีชีวิตที่แตกต่างกัน<br>เรื่องสิ่งแวดล้อมอะไรพวกนี้น่ะ"""
ssc_509020_0300#0,"""ถึงบางครั้งเธอจะพูดเรื่องที่ฟังไม่ค่อยเข้าใจ<br>แต่เธอก็ยังอธิบายได้ดีกว่าอิลม่า (Ilma) เยอะเลยล่ะ"""
ssc_509020_0310#0,"""อ้า นี่ หลังจากนี้<br>พอจะมีเวลาบ้างไหม?"""
ssc_509020_0320#0,"""อยากให้เธอช่วยเล่าเรื่อง<br>ของตัวเองให้ฟังบ้างน่ะ"""
ssc_509020_0330#0,"""ยินดีเลยล่ะ"""
ssc_509020_0340#0,"""ได้สิ แต่คงไม่ได้นานเท่าไหร่นะ"""
ssc_509020_0350#0,"""โอเค ดีเลย"""
ssc_509020_0360#0,"""โอเค ไม่เป็นไร"""
ssc_509020_0370#0,"""งั้น ไปคุยกันข้างในที่พัก (Lodge) เถอะ"""
