ssc_509030_0010#0,"""ฟู่<br>อีกแค่นิดเดียว"""
ssc_509030_0020#0,"""...อ๊ะ? มาเยี่ยมเหรอ?"""
ssc_509030_0030#0,"""มาดูแลหลุมศพเหรอ?"""
ssc_509030_0040#0,"""มาเยี่ยมครอบครัวเหรอ?"""
ssc_509030_0050#0,"""อื้อ มันจะโดนหิมะฝังกลบหมดน่ะ<br>ถ้าไม่คอยดูแลล่ะก็"""
ssc_509030_0060#0,"""อื้อ...<br>พ่อแม่ แล้วก็คุณปู่น่ะ..."""
ssc_509030_0070#0,"""คือว่านะ ความจริงแล้ว..."""
ssc_509030_0080#0,"""ไม่มีใครถูกฝังอยู่ที่นี่จริงๆ หรอกนะ"""
ssc_509030_0090#0,"""ทั้งคุณพ่อ คุณแม่ หรือคุณปู่..."""
ssc_509030_0100#0,"""จำเรื่องคุณพ่อกับคุณแม่<br>ไม่ค่อยได้เท่าไหร่แล้วล่ะ"""
ssc_509030_0110#0,"""ตอนที่พวกเรายังเด็กมากๆ ภัยพิบัติที่<br>ภูเขาแลตวา (Mt. Latva) ก็เกิดขึ้น แล้วมันก็แค่นั้นแหละ"""
ssc_509030_0120#0,"""เพราะงั้นพวกเราส่วนใหญ่ก็เลย<br>ถูกเลี้ยงดูมาโดยคุณปู่น่ะ"""
ssc_509030_0130#0,"""คุณปู่สอนพวกเราทุกอย่างเกี่ยวกับ<br>การใช้ชีวิตในโลกแห่งหิมะนี้ล่ะ"""
ssc_509030_0140#0,"""แล้วก็ เมื่อไม่นานมานี้<br>ในคืนที่มีพายุหิมะพัดกระหน่ำ คุณปู่เองก็..."""
ssc_509030_0150#0,"""ผู้คนจากเอลิโอ (Aelio) มาช่วยออกตามหานะ แต่..."""
ssc_509030_0160#0,"""แต่พวกเราก็หาเบาะแสไม่ได้เลย<br>ว่าเรื่องมันเกิดขึ้นที่ไหนน่ะ"""
ssc_509030_0170#0,"""ตั้งแต่นั้นมา พวกเราก็ต้อง<br>หาเลี้ยงชีพกันเองมาตลอดเลยล่ะ"""
ssc_509030_0180#0,"""พวกคนจากเอลิโอ (Aelio) แนะนำว่า<br>พวกเราควรจะย้ายไปที่เซ็นทรัลซิตี้ (Central City) นะ"""
ssc_509030_0190#0,"""แต่พวกเราตัดสินใจที่จะสานต่อเจตนารมณ์ของคุณปู่น่ะ"""
ssc_509030_0200#0,"""พวกเราก็เลยอยู่ที่นี่ และ<br>นั่นคือสิ่งที่พวกเราทำล่ะ"""
ssc_509030_0210#0,"""ถึงแม้ว่า พวกเราจะไม่เคย...<br>ทำมันได้ดีเลยก็เถอะนะ..."""
ssc_509030_0220#0,"""ถึงแม้ทุกคนจะทุ่มเท<br>อย่างสุดความสามารถแล้วก็เถอะ"""
ssc_509030_0230#0,"""แต่พอต่างคนต่างทำ พวกเราก็ไม่เคย<br>คิดตรงกันเลยสักครั้งเดียวล่ะนะ"""
ssc_509030_0240#0,"""พวกเราเคยทะเลาะกันบ่อยมากเรื่อง<br>แนวทางการใช้ชีวิตของพวกเราน่ะ"""
ssc_509030_0250#0,"""อย่างเช่น 'ไม่ล่ะ แบบนั้นไม่ได้ผลหรอก'<br>แล้วก็ 'นี่คือเหตุผลที่บอกว่าทำไมนายถึงคิดผิด' น่ะ"""
ssc_509030_0260#0,"""ในขณะที่ไม่รู้ว่าควรจะทำยังไงต่อไปดี<br>สิ่งเดียวที่เดินไปข้างหน้าก็มีแค่เวลาเท่านั้นล่ะ"""
ssc_509030_0270#0,"""พอตระหนักได้ว่านี่มันไม่เวิร์ก<br>อิลม่า (Ilma) ก็เลยแยกตัวออกไปคนเดียวไงล่ะ"""
ssc_509030_0280#0,"""แล้วพวกเธอทั้งสามคนก็ปรากฏตัวขึ้นมา"""
ssc_509030_0290#0,"""ดีใจมากเลยนะที่พวกเราไม่ต้อง<br>คอยทำเรื่องผิดพลาดแบบนั้นซ้ำแล้วซ้ำเล่าน่ะ"""
ssc_509030_0300#0,"""ต้องขอบคุณพวกเธอทุกคนเลยนะ คิดว่า<br>จากนี้พวกเราน่าจะเดินหน้าต่อไปได้โดยไม่มีปัญหาอะไรแล้วล่ะ"""
ssc_509030_0310#0,"""รวมไปถึงเรื่องของ 'Lost Central' ด้วย..."""
ssc_509030_0320#0,"""รวมถึงศัตรูที่แข็งแกร่ง<br>ที่พวกเราจะต้องได้ต่อสู้ด้วยอย่างแน่นอนเลยล่ะ"""
ssc_509030_0330#0,"""ถ้าเกิดมีเรื่องอะไรขึ้นล่ะก็<br>ให้รีบบอกพวกเราทันทีเลยนะ"""
ssc_509030_0340#0,"""ตาพวกเราที่จะช่วยเธอแล้วล่ะ"""
ssc_509030_0350#0,"""ก็แบบว่า... ตัวฉันเองอาจจะไม่ได้แข็งแกร่งอะไรขนาดนั้น แต่..."""
ssc_509030_0360#0,"""ถ้ามีพวกเราทั้งห้าคนรวมพลังกันล่ะก็<br>พวกเราไม่แพ้ใครแน่ๆ"""
ssc_509030_0370#0,"""ขอให้สัญญาอีกครั้งนะ"""
ssc_509030_0380#0,"""ต่อหน้าทั้งคุณปู่<br>คุณแม่ แล้วก็คุณพ่อเลย"""
ssc_509030_0390#0,"""พวกเราจะสนับสนุนการต่อสู้ของเธอ<br>อย่างสุดความสามารถเลยล่ะ"""
ssc_509030_0400#0,"""เชื่อมือพวกเราได้เลยนะ"""
