ssc_509040_0010#0,"""อ๊ะ? เธอนี่เอง!"""
ssc_509040_0020#0,"""ได้ยินข่าวมาล่ะ<br>เธอไปที่สเตีย (Stia) มาใช่ไหม?"""
ssc_509040_0030#0,"""ที่นั่นลำบากน่าดูเลยใช่ไหมล่ะ?"""
ssc_509040_0040#0,"""ได้ยินมาว่ามีพวก DOLLS เยอะซะจน<br>ต้องต่อสู้กันแทบจะทั้งวันทั้งคืนเลยนี่นา"""
ssc_509040_0050#0,"""เธอดูสบายดีนะ<br>แล้วมาน่อนกับไอน่าเป็นยังไงบ้างล่ะ?"""
ssc_509040_0060#0,"""พวกเธอสบายดี"""
ssc_509040_0070#0,"""พวกเธอค่อนข้างจะหมดแรงเลยล่ะ"""
ssc_509040_0080#0,"""งั้นเหรอ? ขอบคุณสวรรค์เลย..."""
ssc_509040_0090#0,"""หา?! พวกเธอไม่เป็นไรใช่ไหม?"""
ssc_509040_0100#0,"""...ง-งั้น นั่นก็ดีแล้วล่ะ..."""
ssc_509040_0110#0,"""พวกเราไม่ได้คุยกันสักพักนึงแล้วล่ะนะ<br>ก็เลยค่อนข้างจะเป็นห่วงน่ะ"""
ssc_509040_0120#0,"""แต่พอได้เห็นเธอร่าเริงดี<br>ก็ค่อยเบาใจขึ้นมาหน่อยล่ะนะ"""
ssc_509040_0130#0,"""พวกเราจะอยู่ที่นี่เสมอเลยนะ ถ้ามีใครสักคน<br>ต้องการคนที่รับฟังน่ะ เข้าใจไหม?"""
ssc_509040_0140#0,"""ก็อย่างที่บอกไปก่อนหน้านี้แหละ<br>พวกเราจะสนับสนุนพวกเธอทั้งสามคนอย่างเต็มที่เลยล่ะ"""
ssc_509040_0150#0,"""จะจำเอาไว้นะ"""
ssc_509040_0160#0,"""เดี๋ยวจะไปบอกให้พวกเธอรู้นะ"""
ssc_509040_0170#0,"""อื้อ! แค่บอกมาคำเดียว<br>พวกเราจะรีบไปหาเลย"""
ssc_509040_0180#0,"""ถึงอาจจะไปถึงไม่พร้อมกันทุกคนก็เถอะนะ..."""
ssc_509040_0190#0,"""อื้อ ฝากด้วยนะ"""
ssc_509040_0200#0,"""ไม่ได้เจอกันตั้งนานแล้ว<br>อยากจะคุยกับพวกเธอเร็วๆ จังเลยล่ะ"""
ssc_509040_0210#0,"""...อ้อ จริงด้วย เดี๋ยวจะอัปเดตสถานการณ์<br>ของทางนี้ให้ฟังนะ ว่าตอนนี้เป็นยังไงบ้างแล้ว"""
ssc_509040_0220#0,"""อิลม่า (Ilma) บอกว่า การสำรวจภายใน<br>Lost Central คืบหน้าไปได้ด้วยดีเลยล่ะ"""
ssc_509040_0230#0,"""พวก ARKS จากเอลิโอ (Aelio)<br>ก็เข้ามาช่วยเหลืออย่างแข็งขันเลยด้วย"""
ssc_509040_0240#0,"""พวกเราก็ได้รับความช่วยเหลือจาก<br>ARKS จากรีเทม (Retem) เพิ่มมากขึ้นด้วยเหมือนกันล่ะ"""
ssc_509040_0250#0,"""เห็นได้ชัดเลยว่า พวกเขาไม่ได้มาช่วยแค่เรื่องการต่อสู้นะ<br>แต่ยังมาช่วยเรื่องการวิจัยและสำรวจด้วยล่ะ"""
ssc_509040_0260#0,"""คุณปู่เคยบอกพวกเราว่าพวก ARKS จากรีเทม (Retem)<br>น่ะสนใจแต่เรื่องความแข็งแกร่งนะ แต่ว่า..."""
ssc_509040_0270#0,"""สงสัยตอนนี้พวกเขาคงจะแตกต่างไป<br>จากตอนนั้นแล้วล่ะมั้ง"""
ssc_509040_0280#0,"""อิลม่า (Ilma) เข้าไปอยู่ในห้องของคุณปู่เพื่อจัดการ<br>ข้อมูลทั้งหมดที่พวกเราไปรวบรวมมาจากสถานที่จริงน่ะ"""
ssc_509040_0290#0,"""เขาบอกว่าแค่ต้องตรวจสอบข้อเท็จจริง<br>ของเอกสารที่เหลือทั้งหมดเท่านั้นเอง"""
ssc_509040_0300#0,"""แต่... เขาก็ยังไม่เจอ<br>ข้อความอื่นที่คุณปู่ทิ้งไว้เลยน่ะสิ"""
ssc_509040_0310#0,"""พวกเราคิดจริงๆ นะว่าคุณปู่น่าจะทิ้ง<br>เบาะแสไว้ใน Lost Central มากกว่านี้น่ะ แต่ก็..."""
ssc_509040_0320#0,"""เดี๋ยวเขาก็หาจนเจอในที่สุดนั่นแหละ"""
ssc_509040_0330#0,"""บางทีอาจจะมีบางจุดที่เขายังไม่ได้ดูก็ได้นะ?"""
ssc_509040_0340#0,"""อื้อ พวกเรายังหมดหวังไม่ได้หรอก"""
ssc_509040_0350#0,"""อื้อ พื้นที่ที่ถูกหิมะฝังกลบอยู่<br>ก็ยังไม่ได้ไปตรวจสอบเลยล่ะนะ"""
ssc_509040_0360#0,"""พวกเราจะไม่ยอมแพ้หรอกนะ<br>พวกเราจะพยายามต่อไปล่ะ"""
ssc_509040_0370#0,"""ควบคู่ไปกับการค้นหาเบาะแสของ<br>คุณปู่เกี่ยวกับการฟื้นฟูควาริส (Kvaris) ด้วยน่ะนะ"""
ssc_509040_0380#0,"""ถ้ามีความคืบหน้าอะไร<br>เดี๋ยวพวกเราจะติดต่อไปนะ"""
ssc_509040_0390#0,"""พวกเราอาจจะต้องการความช่วยเหลือ<br>จากเธอในบางเรื่องด้วยน่ะ"""
ssc_509040_0400#0,"""เมื่อถึงตอนนั้น พวกเราจะตอบแทน<br>ให้คุ้มค่าเหนื่อยของเธออย่างแน่นอนเลยล่ะ"""
ssc_509040_0410#0,"""ไว้เจอกันนะ!"""
