ssc_509010_0010#0,"""หืม? มาซื้อของเหมือนกันเหรอ?"""
ssc_509010_0020#0,"""มาตุนเสบียงสำหรับทำภารกิจน่ะ"""
ssc_509010_0030#0,"""แล้วเธอล่ะ?"""
ssc_509010_0040#0,"""อ้า เข้าใจล่ะ"""
ssc_509010_0050#0,"""คือว่า มาที่นี่เพื่อเอาวัตถุดิบที่เหลือของพวกเรา<br>มาแลกกับของที่เขามีเยอะเกินความจำเป็นน่ะ"""
ssc_509010_0060#0,"""มาที่นี่เพื่อเอา<br>วัตถุดิบที่เหลือของพวกเรามาแลกน่ะ"""
ssc_509010_0070#0,"""ผู้คนแถวนี้มักจะ<br>รู้สึกขอบคุณเสมอเลยนะเวลาที่มีเสบียงมาเพิ่มน่ะ"""
ssc_509010_0080#0,"""...รู้ไหม ก่อนหน้านี้ที่นี่เคย<br>เงียบเหงามากเลยนะ แทบไม่มีใครอยู่แถวนี้เลยล่ะ"""
ssc_509010_0090#0,"""นานๆ ทีถึงจะมี ARKS จาก<br>เอลิโอ (Aelio) มาสำรวจพื้นที่หรือมาขุดแร่บ้างน่ะ"""
ssc_509010_0100#0,"""แต่ถึงอย่างนั้นก็รู้สึกเหมือน<br>มีเรื่องแบบนั้นเกิดขึ้นเต็มที่ก็แค่ปีละครั้งเอง"""
ssc_509010_0110#0,"""และหลังจากที่พวกเราบังเอิญเจอกันได้ไม่นาน<br>จู่ๆ ผู้คนมากมายก็โพล่งขึ้นมาพร้อมกันเลยล่ะ"""
ssc_509010_0120#0,"""ตอนแรกก็แอบตกใจเหมือนกันนะ"""
ssc_509010_0130#0,"""เป็นครั้งแรกเลยล่ะที่ได้เห็น<br>คนเยอะขนาดนั้นในที่เดียวกันน่ะ"""
ssc_509010_0140#0,"""ไม่ใช่แค่ทางนี้คนเดียวหรอกนะ<br>พวกพี่ชายก็พากันระวังตัวกันอยู่พักใหญ่เลยเหมือนกัน"""
ssc_509010_0150#0,"""บวกกับการหายตัวไปของอิลม่า (Ilma) ด้วยแล้ว<br>พวกเราก็เลยตึงเครียดกันสุดๆ ไปเลยล่ะ"""
ssc_509010_0160#0,"""ตั้งแต่นั้นมา พออะไรๆ ค่อยๆ สงบลง พวกเราก็<br>มีเวลาพูดคุยกับผู้คนแถวนี้มากขึ้นน่ะ"""
ssc_509010_0170#0,"""มันก็แบบว่า อ้อ...<br>พวกเขาทุกคนเป็นคนดีกันทั้งนั้นเลยนะ"""
ssc_509010_0180#0,"""ทุกคนมักจะพูดว่า<br>'ถ้าต้องการอะไรก็บอกได้เลยนะ' อะไรทำนองนั้นน่ะ"""
ssc_509010_0190#0,"""บางคนถึงกับถามว่า<br>'กินข้าวอิ่มไหม?'<br>เป็นห่วงพวกเราเหมือนกับเป็นลูกเป็นหลานเลยล่ะ"""
ssc_509010_0200#0,"""จนถึงตอนนี้ พวกเราทำทุกอย่างด้วยตัวเองมาตลอด<br>และทำเพื่อพวกเราเอง นั่นกลายเป็นเรื่องปกติสำหรับพวกเราไปแล้ว แต่ว่าเรื่องนี้มัน..."""
ssc_509010_0210#0,"""รู้สึกเหมือนกับว่าได้เห็น<br>อีกแง่มุมนึงของการร่วมมือกันเลยล่ะ"""
ssc_509010_0220#0,"""'พวกหลานๆ ต้องร่วมมือกันนะ' คือ<br>สิ่งที่คุณปู่มักจะบอกพวกเราอยู่เสมอน่ะ"""
ssc_509010_0230#0,"""แต่เดาว่าพวกเราคงไม่เคยเข้าใจเลยว่า<br>สิ่งที่เขาหมายถึงนั้นคืออะไรกันแน่น่ะ"""
ssc_509010_0240#0,"""แบบว่า มันไม่ใช่แค่การร่วมมือกัน<br>แบบผิวเผินทั่วไปน่ะ"""
ssc_509010_0250#0,"""มันคือการที่สามารถรับรู้ได้ว่า<br>มีใครกำลังกลุ้มใจเรื่องอะไรอยู่หรือเปล่าน่ะ"""
ssc_509010_0260#0,"""มันคือการที่สามารถขอความช่วยเหลือได้<br>ในเวลาที่มีเรื่องไม่สบายใจน่ะ"""
