st_012110_0010#0,"""Он что-то говорит."""
st_012110_0020#0,"""Он зовет тебя."""
st_012110_0030#0,"""Что?..."""
st_012110_0040#0,"""Ты что-то хочешь сказать мне, Хадред?"""
st_012110_0050#0,"""...эта песня...ещё раз..."""
st_012110_0060#0,"""Ты наконец заговорил. И это...?"""
st_012110_0070#0,"""Ты такой, глупый!"""
st_012110_0080#0,"""Просто... просто...."""
st_012110_0090#0,"""Хорошо, знаю! Не просто одну<br>песню, я буду петь для тебя так,<br>как ты любишь!"""
st_012110_0100#0,"""Слушать будете только вы:<br><%me> и Хадред,<br>но я очень постараюсь.<br>Поэтому я..."""
st_012110_0110#0,"""Хадред, ты не можешь уснуть!<br>Пожалуйста, не засыпай."""
st_012110_0120#0,"""Эта песня. Эта песня...<br>только для тебя."""
st_012110_0130#0,"""A.P.238/4/23/14:30"""
skit01#0,"""Our Final Farewell"""
skit02#0,"""Глава 10: Эхо, что играет в пустоте"""
