st_012045_0005#0,"""【悲痛なシュプレヒコール】<br>仮テキスト"""
st_012045_0010#0,"""Хадред..."""
st_012045_0020#0,"""Ар-р-р-р-р!"""
st_012045_0030#0,"""Такая боль.<br>Не могу слышать это."""
st_012045_0040#0,"""Но скажи мне наконец, что же<br>произошло в том комплексе тогда?"""
st_012045_0050#0,"""Для меня, из Отряда смерти,<br>какая миссия была возложена<br>на меня?"""
st_012045_0060#0,"""Это же не из-за него? Ты же<br>не мог сойти с ума из-за этого."""
st_012045_0070#0,"""Поэтому, скажи мне, пожалуйста,<br>Хадред!"""
st_012045_0080#0,"""Что бы со мной сделали?"""
st_012045_0090#0,"""..!"""
st_012045_0100#0,"""Ар-р-р-р-р!"""
st_012045_0110#0,"""Сколько же ты будешь защищать<br>секрет?! Ты действительно идиот,<br>Хадред."""
st_012045_0120#0,"""A.P.238/4/15/11:20"""
