un_013020_0001#0,"""A.P.238/4/7"""
un_013020_0010#0,"""... ох, привет."""
un_013020_0020#0,"""Событие ARKS...<br>А, то, что было на экране ранее?<br>Я в нём не заинтересован."""
un_013020_0030#0,"""Единственное, что меня сейчас<br>интересует, это то, как стать<br>сильнее, чтобы избавиться от<br>большего количества даркеров."""
un_013020_0040#0,"""..Сила которой хватило бы<br>чтобы дать фору даже<br>Дарк Фальцу...<br>если б у меня была<br>такая сила..."""
un_013020_0050#0,"""..она бы не умерла."""
un_013020_0060#0,"""Зачем?<br>К чему ей быть такой<br>омертвлевшей?"""
un_013020_0070#0,"""Зачем?<br>У неё не было такого<br>таланта, но она изо всех сил<br>старалась изо дня в день..."""
un_013020_0080#0,"""И только она подумала, что<br>наконец поняла чего желает..."""
un_013020_0090#0,"""...простите.<br>Наверное, нет причин."""
un_013020_0100#0,"""Всё что я могу<br>сделать - избавиться<br>от всех даркеров,<br>не задумываясь об этом."""
un_013020_0110#0,"""Я думаю, что это единственное,<br>что я могу сделать..."""
un_013020_0120#0,"""Ну, я пойду.<br>Народ принимает участие<br>в мероприятии, в то время как<br>есть много возможностей для<br>ликвидации..."""
