st_012035_0005#0,"""【姉想いの弟】<br>仮テキスト"""
st_012035_0010#0,"""<%me>, Куна, вы меня слышите?"""
st_012035_0020#0,"""Похоже, наш дракон<br>как раз на стадионе."""
st_012035_0030#0,"""Я не знаю, сколько<br>он там будет оставаться."""
st_012035_0040#0,"""Порядок, он не уйдет,<br>пока там музыка."""
st_012035_0050#0,"""И есть ещё кое-что,<br>о чём я должен вам обоим сказать."""
st_012035_0060#0,"""Похоже, другие драконы начали<br>буйствовать. Возможно, это как-то<br>связано с Хадредом."""
st_012035_0070#0,"""Порядок. Не нужно объяснять,<br>Касра из Совета Шести."""
st_012035_0080#0,"""Я всё поняла, причину знаю.<br>Я её ранее услышала."""
st_012035_0090#0,"""Разрушение исследовательского<br>комплекса... Хадред-берсерк...<br>бесчеловечные эксперименты..."""
st_012035_0100#0,"""Не имеет значения."""
st_012035_0110#0,"""Чтобы защитить меня,<br>он отдал свою жизнь."""
st_012035_0120#0,"""Понятно... Значит, впереди<br>вас ждет жестокая битва."""
st_012035_0130#0,"""Пошли. Хадред ждет нас."""
st_012035_0140#0,"""A.P.238/4/15/11:00"""
