Title#0,"""Базовая тренировка форсов"""
Summary#0,"""Узнайте как сражаться классом форс<br>у наставника класса Хорньян.<br><br><yellow>※Рекомендуемое к изучению умение класса:<br>Photon Flare<c>"""
Objective311#0,"""Сменить основной класс на форса"""
text0101#0,"""Сменить основной класс на форса"""
Objective321#0,"""Отправиться на гору Магнус"""
text0102#0,"""Отправиться на юг Эарио (только форс)"""
text0103#0,"""Использовать Photon Flare"""
Objective322#0,"""Использовать Photon Flare"""
Objective323#0,"""Одолеть врагов на горе Магнус как форс"""
text0104#0,"""Одолеть врагов на юге Эарио (только форс)"""
Objective331#0,"""Доложить Хорньян"""
