Title#0,"""Базовая тренировка рейнджеров"""
Summary#0,"""Узнайте как сражаться классом рейнджер<br>у наставника класса Шарки.<br><br><yellow>※Рекомендуемое к изучению умение класса:<br>Weak Bullet<c>"""
Objective311#0,"""Сменить основной класс на рейнджера"""
text0101#0,"""Сменить основной класс на рейнджера"""
Objective321#0,"""Отправиться на гору Магнус"""
text0102#0,"""Отправиться на юг Эарио (только рейнджер)"""
text0103#0,"""Использовать Weak Bullet"""
Objective322#0,"""Использовать Weak Bullet"""
Objective323#0,"""Одолеть врагов на горе Магнус как рейнджер"""
text0104#0,"""Одолеть врагов на юге Эарио (только рейнджер)"""
Objective331#0,"""Доложить Шарки"""
