Title#0,"""Базовая тренировка хантеров"""
Summary#0,"""Узнайте как сражаться классом хантер<br>у наставника класса Датрей.<br><br><yellow>※Рекомендуемое к изучению умение класса:<br>Massive Hunter<c>"""
Objective311#0,"""Сменить основной класс на хантера"""
text0101#0,"""Сменить основной класс на хантера"""
Objective321#0,"""Отправиться на гору Магнус"""
text0102#0,"""Отправиться на юг Эарио (только хантер)"""
text0103#0,"""Использовать Massive Hunter"""
Objective322#0,"""Использовать Massive Hunter"""
Objective323#0,"""Одолеть врагов на горе Магнус как хантер"""
text0104#0,"""Одолеть врага на юге Эарио (только хантер)"""
Objective331#0,"""Доложить Датрею"""
