name_7447#0,"""Hokuto"""
ssn_015650_0001#0,"""You're... the ARKS who's been making the rounds, I bet."""
ssn_015650_0002#0,"""I've been hearing about the scope of your efforts. I hope to see good things here in Stia, as well."""
ssn_015650_0101#0,"""Oh, it's you..."""
ssn_015650_0102#0,"""It seems you put on quite an impressive display in this most recent battle."""
ssn_015650_0103#0,"""Taking that skill into account, I'd like to ask something of you."""
ssn_015650_0104#0,"""Is that alright?"""
ssn_015650_0201#0,"""First, I want you to clear the Cocoons of Stia. Good luck out there."""
ssn_015650_0301#0,"""I see... Another time, then."""
ssn_015650_0401#0,"""You're back."""
ssn_015650_0402#0,"""Well then, let me just verify the data."""
ssn_015650_0403#0,"""...Hm, I see."""
ssn_015650_0404#0,"""Yes, perfect! Thank you."""
ssn_015650_0405#0,"""I was right to ask for your help. I got some very valuable data."""
ssn_015650_0406#0,"""...Now, I'm sorry for being so sudden, but I'm also going to want you to clear the Tower as well."""
ssn_015650_0407#0,"""Let me know when you have the time."""
ssn_015650_1001#0,"""Are you ready?"""
ssn_015650_1002#0,"""If you are, I'd like to continue the investigation."""
ssn_015650_1101#0,"""This time I ask that you clear the Tower of Stia."""
ssn_015650_1102#0,"""I look forward to the good data it will provide. Best of luck."""
ssn_015650_1201#0,"""Is that so... Well, it can't be helped."""
ssn_015650_1301#0,"""You're back. I'll start taking data now, then."""
ssn_015650_1302#0,"""...Uh-huh. ...Ohh!"""
ssn_015650_1303#0,"""Nice results. With this, my research can continue."""
ssn_015650_1304#0,"""Thinking on it, it's quite peculiar that Stia, which is usually uninhabited by people, would have training facilities."""
ssn_015650_1305#0,"""Why would someone build them in a place like this, I wonder?"""
ssn_015650_1306#0,"""I hear that researchers in all areas have been studying these Trainia."""
ssn_015650_1307#0,"""Later I should like to share information with them. We'll surely make a new discovery."""
ssn_015650_1308#0,"""You have done us all a great service."""
ssn_015650_1309#0,"""I thank you from the bottom of my heart."""
ssn_015650_1401#0,"""The Trainia facilities are full of mystery."""
ssn_015650_1402#0,"""I think my research will help to unravel those mysteries, if only a little."""
