name_7427#0,"""Cortes"""
ssn_014780_0001#0,"""โย่ว ว่าไง! ฉันชื่อ Cortes"""
ssn_014780_0002#0,"""เคยได้ยินเรื่องของนายมาบ้าง ยังเป็นหน้าใหม่สำหรับ Kvaris อยู่ใช่มั้ยล่ะ?"""
ssn_014780_0003#0,"""ทำตัวตามสบาย เดี๋ยวฉันช่วยเอง ถ้ามีปัญหาอะไรก็มาหาฉันได้เลย!"""
ssn_014780_0101#0,"""โย่ว ว่าไง! หวังว่าจะทุ่มเทเต็มที่นะ?"""
ssn_014780_0102#0,"""โอ้โห! แววตานั่น... เต็มไปด้วยความมุ่งมั่นเลยนี่"""
ssn_014780_0103#0,"""เอาล่ะ! ฉันจะตอบรับความตั้งใจของนายด้วยการมอบหมายงานให้สักหน่อย"""
ssn_014780_0104#0,"""ว่าไงล่ะ? สนใจจะเปิดหูเปิดตาเรื่องการต่อสู้เพิ่มมั้ย?"""
ssn_014780_0201#0,"""อา ดูเหมือนนายจะยุ่งอยู่กับภารกิจนะ ไว้มีเวลาว่างเมื่อไหร่ค่อยมาหาฉันใหม่ละกัน"""
ssn_014780_0202#0,"""เรียนรู้ให้หมดทุกอย่าง การลองทำดูไม่ได้เสียหายอะไรหรอก"""
ssn_014780_0301#0,"""อืม บางทีฉันคงเข้าใจผิดไป เอาเถอะ เราทุกคนก็ต้องมีวันแบบนั้นบ้างล่ะนะ"""
