name_7427#0,"""Cortes"""
ssn_014935_0101#0,"""นั่นแหละ! ต้องแบบนี้สิ! เดี๋ยวฉันจะอธิบายให้ฟังว่าจะให้ทำอะไร"""
ssn_014935_0102#0,"""เคยได้ยินเรื่อง 'Frozen Containers' มั้ย?"""
ssn_014935_0103#0,"""คอนเทนเนอร์พวกนั้นที่ถูกน้ำแข็งเกาะเต็มไปหมดไง นั่นแหละเป้าหมายของนายในครั้งนี้"""
ssn_014935_0104#0,"""เพียงแต่น้ำแข็งพวกนั้นมันแข็งสุดๆ นายเลยพังมันง่ายๆ ไม่ได้หรอก"""
ssn_014935_0105#0,"""แต่ถ้าใช้ท่าพุ่งชนของ Floating Board อาจจะพังมันได้นะ"""
ssn_014935_0106#0,"""ทำไมคอนเทนเนอร์พวกนั้นถึงถูกแช่แข็งน่ะหรอ? ไม่ใช่เรื่องของฉัน!"""
ssn_014935_0107#0,"""อ้อ แล้วก็ต้องบอกไว้ก่อน บางทีนายอาจจะหา Frozen Container ข้างนอกนั่นไม่เจอเลยก็ได้นะ"""
ssn_014935_0108#0,"""หิมะกับน้ำแข็งมันพัดไปพัดมาทุกวัน คอยเปิดบ้างปิดบ้างพวกของพรรค์นี้นี่แหละ"""
ssn_014935_0109#0,"""ถ้าวันนี้หาไม่เจอ ก็รอพรุ่งนี้ละกัน สบายๆ ไม่ต้องรีบหรอก"""
ssn_014935_0110#0,"""เอาล่ะ ไปลุยได้เลย!"""
