name_7427#0,"""Cortes"""
ssn_014783_0101#0,"""นั่นแหละ! ต้องแบบนี้สิ! เดี๋ยวฉันจะอธิบายให้ฟังว่าจะให้ทำอะไร"""
ssn_014783_0102#0,"""มีคนเห็นเครื่องบินขนส่งของพวก DOLLS ใน Southern Kvaris น่ะ"""
ssn_014783_0103#0,"""พวกมันขนอะไรอยู่หรอ? ไม่ใช่เรื่องของฉันนี่!"""
ssn_014783_0104#0,"""เรื่องพรรค์นั้นฉันปล่อยให้คนอื่นที่นี่จัดการดีกว่า"""
ssn_014783_0105#0,"""รู้แค่ว่าเครื่องบินพวกนั้นมันแบกคอนเทนเนอร์มาด้วย และนายก็ต้องไปเอาของข้างในนั้นมา"""
ssn_014783_0106#0,"""ประเด็นคือมันเร็วมาก เร็วจนขาพวกเราวิ่งตามไม่ทันเลยล่ะ"""
ssn_014783_0107#0,"""นั่นเป็นเหตุผลว่าทำไมนายถึงต้องใช้ Floating Board ไงล่ะ!"""
ssn_014783_0108#0,"""ด้วยความเร็วของเจ้านั่น นายก็น่าจะกระโดดไปถึงคอนเทนเนอร์พวกนั้นได้"""
ssn_014783_0109#0,"""บังเอิญมีเทอร์มินัลอยู่ใกล้ๆ กับบริเวณที่พบเห็นพอดี นายสามารถใช้เรียกบอร์ดออกมาใช้งานส่วนตัวได้เลย"""
ssn_014783_0110#0,"""พวกมันทำงานยังไงน่ะเหรอ? นายเดาถูกแล้ว ไม่ใช่เรื่องของฉัน!"""
ssn_014783_0111#0,"""อาจจะต้องใช้เวลาทำความคุ้นเคยสักหน่อย แต่ก็ลองไปใช้ดูละกัน!"""
