MainMenu_Title#0,"""Screenshot Studio Terminal"""
MainMenu_ChangeWeather#0,"""Change Weather"""
MainMenu_Refresh#0,"""Refresh Status"""
MainMenu_GotoEsthe#0,"""Go to Salon"""
MainMenu_ReturnCampship#0,"""Return to Campship"""
MainMenu_QuestClear#0,"""Clear Quest"""
MainMenu_LeaderOnly#0,"""Party Leader only"""
MainMenu_CloseMenu#0,"""Return"""
GotoEstheYesNo_Title#0,"""Message"""
GotoEstheYesNo_Message#0,"""When you go to the Beauty Salon, all partners called from the Partner Terminal will leave your party.<br><br>Do you wish to continue?"""
Button_Yes#0,"""Yes"""
Button_No#0,"""No"""
QuestClearYesNo_Title#0,"""Quest Clear Confirmation"""
QuestClearYesNo_Message#0,"""（仮）クエストをクリアします？<br>※クエストクリアを実行するとキャンプシップに移動します。"""
ReturnCampshipYesNo_Title#0,"""Message"""
ReturnCampshipYesNo_Message#0,"""Would you like to return to the Campship?"""
Weather_Title#0,"""Select Weather"""
Weather1#0,"""Weather 1"""
Weather2#0,"""Weather 2"""
Weather3#0,"""Weather 3"""
Weather4#0,"""Weather 4"""
Weather5#0,"""Weather 5"""
Weather6#0,"""Weather 6"""
Weather7#0,"""Weather 7"""
Weather8#0,"""Weather 8"""
Weather9#0,"""Weather 9"""
Weather10#0,"""Weather 10"""
