name_7431#0,"""ヴァスコ"""
ssq_014895_0010#0,"""到着しましたか。"""
ssq_014895_0020#0,"""いいですね。<br>ここならバッチリ観察できます。"""
ssq_014895_0030#0,"""なにを見るのかって？"""
ssq_014895_0040#0,"""上ですよ、上！\u3000あの空に浮かんだ、<br>巨大な構造物が今回の調査対象です。"""
ssq_014895_0050#0,"""あれがなんなのかは、誰にもわかりません。"""
ssq_014895_0060#0,"""ずっと昔からあって、<br>一部の研究者からは“浮島”と呼ばれています。"""
ssq_014895_0070#0,"""その正体について、古くから研究されてきましたが、<br>なにひとつ判明していないんです。"""
ssq_014895_0080#0,"""僕たちの技術じゃあの場所には行けないですからね。<br>だから、少しでも近くから観察できればと……。"""
ssq_014895_0090#0,"""……っと、<br>そろそろデータの取得が終わりそうですね。"""
ssq_014895_0100#0,"""ありがとうございました。<br>キャンプに戻ってきてくれますか。"""
