name_7431#0,"""Vasco"""
ssn_014720_0001#0,"""สุดยอด! นี่เป็นครั้งแรกที่ได้เห็นทิวทัศน์แบบนี้"""
ssn_014720_0002#0,"""พอห่างออกมาจาก Aelio มากพอ โลกก็เปลี่ยนไปจริงๆ สินะเนี่ย? ดีใจจังที่ได้มาที่นี่"""
ssn_014720_0101#0,"""อืม... ถ้าเพียงแต่จะตรวจสอบให้ละเอียดกว่านี้ได้... แต่มันช่างยากที่จะ--"""
ssn_014720_0102#0,"""อ๊ะ! ให้ตายสิ เธอทำตกใจหมดเลย!"""
ssn_014720_0103#0,"""ขอโทษที มัวแต่จมอยู่ในความคิดเลยไม่ทันสังเกตเห็นน่ะ"""
ssn_014720_0104#0,"""ฉันชื่อ Vasco มาที่นี่ในฐานะสมาชิกของทีมสำรวจ Kvaris"""
ssn_014720_0105#0,"""Kvaris นี่เป็นที่ที่น่าหลงใหลเนอะ? แทบไม่น่าเชื่อเลยว่าเคยเป็นดินแดนที่เขียวชอุ่มมาก่อน"""
ssn_014720_0106#0,"""นั่นเป็นเหตุผลที่มาที่นี่ล่ะ เพื่อตรวจสอบว่าเกิดอะไรขึ้นกับที่นี่กันแน่"""
ssn_014720_0107#0,"""ถ้าพอมีเวลา คิดว่าจะช่วยอะไรหน่อยได้ไหม?"""
ssn_014720_0201#0,"""อยากให้ช่วยรวบรวม Pentrite จาก Western Kvaris หน่อย จะส่งข้อมูลให้ Mag จะได้ชี้เป้าเวลาเจอได้"""
ssn_014720_0301#0,"""โอ๊ะ? ดูเหมือนจะไม่ค่อยสนใจแฮะ น่าเสียดายจัง..."""
ssn_014720_0401#0,"""ขอบคุณมาก"""
ssn_014720_0402#0,"""ว้าว! Pentrite ของจริง! ไม่เคยเห็นของจริงมาก่อนเลย!"""
ssn_014720_0403#0,"""เอาล่ะ คงต้องสแกนอย่างละเอียดสักที ในที่สุดก็ทำได้แล้ว!"""
ssn_014720_0404#0,"""โอ้ ไม่ต้องห่วงนะ สแกนเสร็จแล้วจะคืนให้"""
ssn_014720_0405#0,"""...เห็นได้ชัดเลยว่าแร่พวกนี้ก่อตัวขึ้นในสภาพแวดล้อมที่นุ่มนวลกว่านี้มาก"""
ssn_014720_0406#0,"""ไม่มีทางเลยที่พวกมันจะก่อตัวขึ้นในสภาพอากาศที่เลวร้ายแบบนี้ได้"""
ssn_014720_0407#0,"""หรือก็คือ Pentrite นี้ก่อตัวขึ้นในตอนที่ดินแดนนี้ยังมีสภาพภูมิอากาศแบบอบอุ่น"""
ssn_014720_0408#0,"""เป็นไง? น่าสนใจใช่ไหมล่ะ? จากการตรวจสอบหิน เราสามารถเรียนรู้ประวัติศาสตร์ของสถานที่แห่งนี้ได้มากขึ้น"""
ssn_014720_0409#0,"""...โอ๊ะ สแกนเสร็จแล้วล่ะ ขอบคุณมากนะ จะคืน Pentrite นี่ให้เดี๋ยวนี้แหละ"""
ssn_014720_0410#0,"""การวิจัยเป็นความเชี่ยวชาญของฉันน่ะ อยากจะรวบรวมข้อมูลทุกๆ อย่าง ไม่ใช่แค่รูปแบบการเกิดของหิน"""
ssn_014720_0411#0,"""คิดว่าจะช่วยฉันเรื่องนี้ต่อไปได้ไหม? จะขอบคุณมากเลยถ้าได้รับความช่วยเหลือ"""
ssn_014720_1001#0,"""โอ้ สวัสดีอีกครั้ง กำลังจะออกไปข้างนอกหรือเปล่า?"""
ssn_014720_1002#0,"""ถ้าใช่ มีอะไรอยากให้ช่วยทำหน่อยน่ะ"""
ssn_014720_1101#0,"""ฉันสู้ไม่ได้ เลยทุ่มเทความพยายามไปที่งานวิจัยของตัวเองน่ะ"""
ssn_014720_1102#0,"""จะรออยู่ที่นี่นะ ขอให้โชคดี"""
ssn_014720_1201#0,"""...เข้าใจล่ะ ขอโทษที่มาขอร้องตอนกำลังยุ่งนะ"""
ssn_014720_1301#0,"""ทำได้ดีมาก โอ้ว นี่คือแครอทสินะ"""
ssn_014720_1302#0,"""น่าจะใช้ศึกษาพวกมันและทำความเข้าใจธรณีวิทยาของ Kvaris ได้ดียิ่งขึ้น"""
ssn_014720_1303#0,"""รูปร่างประหลาดจัง สงสัยอยู่เหมือนกันว่ามันเติบโตในสภาพอากาศที่ไม่เอื้ออำนวยแบบนี้ได้ยังไง"""
ssn_014720_1304#0,"""...มันค้างคาใจมาตลอดเลย สภาพแวดล้อมของ Kvaris ค่อนข้างผิดธรรมชาติในหลายๆ ด้านเลยใช่ไหมล่ะ?"""
ssn_014720_1305#0,"""ไม่ใช่แค่ Kvaris หรอก Halpha ทั้งใบมีบางอย่างที่รู้สึกว่ามัน... แปลกๆ"""
ssn_014720_1306#0,"""อย่างเช่น ทำไมสภาพแวดล้อมถึงเปลี่ยนไปอย่างมากจากภูมิภาคหนึ่งไปยังอีกภูมิภาคหนึ่งล่ะ?"""
ssn_014720_1307#0,"""สิ่งมีชีวิตก็แตกต่างกันอย่างมากในแต่ละพรมแดน"""
ssn_014720_1308#0,"""มันเป็นไปได้ด้วยเหรอที่ความแตกต่างที่รุนแรงขนาดนี้จะเกิดขึ้นเองตามธรรมชาติ?"""
ssn_014720_1309#0,"""ฉันได้ทำการวิจัยมาพอสมควรแล้ว แต่ก็ยังหาคำอธิบายไม่ได้เลย"""
ssn_014720_1310#0,"""แต่อย่างไรก็ตาม ถ้ายังคงทำการวิจัยต่อไปแบบนี้ เชื่อว่าสักวันคำตอบก็จะอยู่แค่เอื้อมแน่ๆ"""
ssn_014720_1311#0,"""ขอบคุณอีกครั้งสำหรับวันนี้นะ หวังว่าจะพึ่งพาเธอได้อีก"""
ssn_014720_2001#0,"""โอ้ มาได้จังหวะพอดีเลย มีเวลาสักครู่ไหม?"""
