Title#0,"""Area Survey: Remnants of Other Worlds"""
Explanation#0,"""From the depths where Omega existed,<br>a spacial distortion has been detected. An<br>entity with similar patterns to that of the<br>[Profound Darkness] and Ephimera has<br>been detected from within. Please<br>investigate the matter immediately.<br>――――――――――――――――――――<br>Scape & Half Dolls are disabled<br>Damage Limit: 999999<br>Failure: If time elapses or if incapacitated"""
SimpleExplanation#0,"""Defeat the entity from the distortion!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""????"""
Area0L#0,"""????"""
Area1S#0,"""????"""
Area1L#0,"""????"""
Area2S#0,"""????"""
Area2L#0,"""????"""
Area3S#0,"""????"""
Area3L#0,"""????"""
Area1S#1,"""????"""
Area1L#1,"""????"""
Area3S#1,"""????"""
Area3L#1,"""????"""
QuestInfoPlanetName#0,"""????"""
