ra_013010_0010#0,"""……待っていた。<br>すべてを言わずとも理解している。"""
ra_013010_0020#0,"""貴方が求めるのは<br>今この時にて起きている<br>事象への回答だろう？"""
ra_013010_0030#0,"""……だが、すまない。<br>わたしとわたしたちにも<br>仔細はつかめていない。"""
ra_013010_0040#0,"""ただ、わかっていることもある。<br>今起こっている、この優位改変状況は<br>貴方への不利益にはならない。"""
ra_013010_0050#0,"""しかしそれ故に、原因がつかめない。<br>目的なき行いの由が導き出せない。"""
ra_013010_0060#0,"""わたしとわたしたちは知り得ず<br>貴方達は動いていない。"""
ra_013010_0070#0,"""そこから導き出される答えは<br>貴方ではない貴方達が<br>存在しているということ。"""
ra_013010_0080#0,"""……すまない。言い換えよう。"""
ra_013010_0090#0,"""わたしたちと同じことを行う<br>なにがしかの存在がある。"""
ra_013010_0100#0,"""わたしとわたしたちに解るのは<br>そこまでだ。それだけのことだ。"""
ra_013010_0110#0,"""わたしとわたしたちが確認できる範囲に<br>おいて、この事象の危険性は薄い。<br>利用できるのなら、利用してもいい。"""
ra_013010_0120#0,"""原因については続けて調べるが……<br>これが、わからないということか。<br>不思議な、感覚だ。"""
