text01#0,"""お、相棒、わざわざありがとな！<br>報告もちゃんと見せてもらったぜ！"""
text02#0,"""今んところ、おれらの修了任務時ほどの<br>ダーカー発生の傾向とかは<br>なさそうな感じだな。"""
text03#0,"""……まあ、不意に大発生して<br>大変なことにってのが前回だから<br>これだけじゃ何とも言えねえか。"""
text04#0,"""ありがとな、相棒！\u3000なんかちょっと<br>気が楽になった感じがするよ。<br>それじゃ、報酬は、っと……"""
11_voice_NPC_5003_101#0,"""……そうだ、おれのパートナーカード<br>受け取ってくれよ！\u3000お礼にしては<br>ちゃちいけど、いつでも呼んでくれよ！"""
linewindow001#0,"""<br>アフィンをパートナーとして呼べるようになりました。<br>"""
text06#0,"""『パートナーキャラクター』について"""
text07#0,"""特定の条件を達成すると<br>パートナーキャラクターと一緒に冒険することができます。<br><br>パートナーキャラクターはキャンプシップにある端末から<br>呼び出すことができます。<br><br><yellow>ただし、同じルームの中で既に呼ばれている場合は<br>パートナーキャラクターを呼び出すことができません。<c>"""
linewindow002#0,"""<br>アークスの仲間たちにクライアントオーダーが発生しました。<br>"""
linewindow003#0,"""<br>デイリーオーダーが受注出来るようになりました。<br>"""
text08#0,"""『デイリーオーダー』について"""
text09#0,"""マールーにクライアントオーダーが発生しました。<br><br>マールーはゲートエリア・中央ホールにいます。"""
text10#0,"""オーザにクライアントオーダーが発生しました。<br><br>オーザはゲートエリア・中央ホールにいます。"""
text11#0,"""リサにクライアントオーダーが発生しました。<br><br>リサはゲートエリア・中央ホールにいます。"""
text12#0,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
text13#0,"""ハンスにクライアントオーダーが発生しました。<br><br>ハンスはゲートエリア・西クエストカウンター前にいます。"""
text14#0,"""エメラインにクライアントオーダーが発生しました。<br><br>エメラインはショップエリア・モニュメント広場にいます。"""
text15#0,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
text16#0,"""ファイナにデイリーオーダーが発生しました。<br><br>ファイナはゲートエリア・西クエストカウンターにいます。"""
